"Protein_ID","UniProt_ID","Identity","Alignment_length","E_value","Bit_score","UniProt_accession"
"KAK6007081.1","tr|A0ABR0TRK8|A0ABR0TRK8_AURPU",100,2405,0,4849,"A0ABR0TRK8"
"KAK6001793.1","tr|A0ABR0TBH1|A0ABR0TBH1_AURPU",100,2454,0,4791,"A0ABR0TBH1"
"KAK6002826.1","tr|A0ABR0TFX9|A0ABR0TFX9_AURPU",100,2407,0,4776,"A0ABR0TFX9"
"KAK6000101.1","tr|A0ABR0T7Z6|A0ABR0T7Z6_AURPU",100,2436,0,4773,"A0ABR0T7Z6"
"KAK5999829.1","tr|A0ABR0T6H3|A0ABR0T6H3_AURPU",100,2462,0,4685,"A0ABR0T6H3"
"THX97490.1","tr|A0ABR0TLG1|A0ABR0TLG1_AURPU",92.1,2676,0,4677,"A0ABR0TLG1"
"THX25863.1","tr|A0ABR0TH46|A0ABR0TH46_AURPU",99.1,2338,0,4673,"A0ABR0TH46"
"KAK6003179.1","tr|A0ABR0TFG7|A0ABR0TFG7_AURPU",100,2340,0,4655,"A0ABR0TFG7"
"KAK6006773.1","tr|A0ABR0TQP7|A0ABR0TQP7_AURPU",100,2385,0,4619,"A0ABR0TQP7"
"CAR1018008.1","tr|A0ABR0TMQ5|A0ABR0TMQ5_AURPU",91.2,2644,0,4611,"A0ABR0TMQ5"
"CAD0049813.1","tr|A0ABR0TGN6|A0ABR0TGN6_AURPU",97.5,2407,0,4603,"A0ABR0TGN6"
"KAK6000150.1","tr|A0ABR0T6T0|A0ABR0T6T0_AURPU",100,4331,0,4587,"A0ABR0T6T0"
"KAK6006667.1","tr|A0ABR0TRE4|A0ABR0TRE4_AURPU",100,2328,0,4508,"A0ABR0TRE4"
"CAR4730096.1","tr|A0ABR0TGX3|A0ABR0TGX3_AURPU",96.7,2277,0,4393,"A0ABR0TGX3"
"KAK6002405.1","tr|A0ABR0TEM4|A0ABR0TEM4_AURPU",100,2190,0,4331,"A0ABR0TEM4"
"KAK6008844.1","tr|A0ABR0TX56|A0ABR0TX56_AURPU",100,2403,0,4324,"A0ABR0TX56"
"KAK6007644.1","tr|A0ABR0TTT0|A0ABR0TTT0_AURPU",100,2250,0,4290,"A0ABR0TTT0"
"KAK6001171.1","tr|A0ABR0T9Q2|A0ABR0T9Q2_AURPU",100,2278,0,4284,"A0ABR0T9Q2"
"KAK6000972.1","tr|A0ABR0T9I1|A0ABR0T9I1_AURPU",100,2235,0,4278,"A0ABR0T9I1"
"THX50200.1","tr|A0ABR0TMY7|A0ABR0TMY7_AURPU",94.5,2235,0,4268,"A0ABR0TMY7"
"KAK6001595.1","tr|A0ABR0TCD1|A0ABR0TCD1_AURPU",100,2194,0,4264,"A0ABR0TCD1"
"KAK6005261.1","tr|A0ABR0TME5|A0ABR0TME5_AURPU",100,2190,0,4261,"A0ABR0TME5"
"TIA70008.1","tr|A0ABR0TBJ8|A0ABR0TBJ8_AURPU",97.2,2139,0,4201,"A0ABR0TBJ8"
"KAK6008333.1","tr|A0ABR0TV91|A0ABR0TV91_AURPU",100,2279,0,4133,"A0ABR0TV91"
"KAK6002135.1","tr|A0ABR0TDX2|A0ABR0TDX2_AURPU",100,2103,0,4127,"A0ABR0TDX2"
"KAK6008064.1","tr|A0ABR0TV12|A0ABR0TV12_AURPU",100,2073,0,4073,"A0ABR0TV12"
"KAK6004696.1","tr|A0ABR0TJR4|A0ABR0TJR4_AURPU",100,2087,0,4071,"A0ABR0TJR4"
"THY93377.1","tr|A0ABR0TME3|A0ABR0TME3_AURPU",95.4,2161,0,4043,"A0ABR0TME3"
"THV76285.1","tr|A0ABR0TM82|A0ABR0TM82_AURPU",96.5,2085,0,4014,"A0ABR0TM82"
"KAK6006413.1","tr|A0ABR0TPP2|A0ABR0TPP2_AURPU",100,2045,0,3940,"A0ABR0TPP2"
"KAK6002849.1","tr|A0ABR0TEK6|A0ABR0TEK6_AURPU",100,2053,0,3902,"A0ABR0TEK6"
"CAD0049584.1","tr|A0ABR0TGJ2|A0ABR0TGJ2_AURPU",89.5,2237,0,3896,"A0ABR0TGJ2"
"THV76289.1","tr|A0ABR0TM50|A0ABR0TM50_AURPU",92.9,2399,0,3873,"A0ABR0TM50"
"KAK6002869.1","tr|A0ABR0TEM7|A0ABR0TEM7_AURPU",100,1980,0,3872,"A0ABR0TEM7"
"KAK6001461.1","tr|A0ABR0TC08|A0ABR0TC08_AURPU",100,2029,0,3833,"A0ABR0TC08"
"KAK6008698.1","tr|A0ABR0TW36|A0ABR0TW36_AURPU",100,2000,0,3826,"A0ABR0TW36"
"KAK6001062.1","tr|A0ABR0T9T2|A0ABR0T9T2_AURPU",100,1974,0,3800,"A0ABR0T9T2"
"KAK6005616.1","tr|A0ABR0TNX0|A0ABR0TNX0_AURPU",100,1923,0,3786,"A0ABR0TNX0"
"KAK5999726.1","tr|A0ABR0T6W5|A0ABR0T6W5_AURPU",100,1974,0,3778,"A0ABR0T6W5"
"THW95407.1","tr|A0ABR0TB84|A0ABR0TB84_AURPU",95.4,1979,0,3754,"A0ABR0TB84"
"CAC9888457.1","tr|A0ABR0TPN4|A0ABR0TPN4_AURPU",93.7,2002,0,3739,"A0ABR0TPN4"
"KAK6000270.1","tr|A0ABR0T757|A0ABR0T757_AURPU",100,1931,0,3721,"A0ABR0T757"
"KAK5999297.1","tr|A0ABR0T4G7|A0ABR0T4G7_AURPU",100,2063,0,3606,"A0ABR0T4G7"
"KAK6004674.1","tr|A0ABR0TK96|A0ABR0TK96_AURPU",100,1985,0,3604,"A0ABR0TK96"
"KAK5999800.1","tr|A0ABR0T711|A0ABR0T711_AURPU",100,1862,0,3603,"A0ABR0T711"
"THY34779.1","tr|A0ABR0TBH7|A0ABR0TBH7_AURPU",91.2,2023,0,3566,"A0ABR0TBH7"
"KAK5999781.1","tr|A0ABR0T773|A0ABR0T773_AURPU",100,2114,0,3563,"A0ABR0T773"
"KAK6005549.1","tr|A0ABR0TMA9|A0ABR0TMA9_AURPU",100,1853,0,3559,"A0ABR0TMA9"
"KAK6007350.1","tr|A0ABR0TSB3|A0ABR0TSB3_AURPU",100,1832,0,3559,"A0ABR0TSB3"
"KAK6007886.1","tr|A0ABR0TUN9|A0ABR0TUN9_AURPU",100,1939,0,3520,"A0ABR0TUN9"
"KAK6001263.1","tr|A0ABR0TA00|A0ABR0TA00_AURPU",100,1816,0,3508,"A0ABR0TA00"
"KAK6006428.1","tr|A0ABR0TPR6|A0ABR0TPR6_AURPU",100,1808,0,3506,"A0ABR0TPR6"
"THV92081.1","tr|A0ABR0T9K3|A0ABR0T9K3_AURPU",96.2,1832,0,3500,"A0ABR0T9K3"
"THY92740.1","tr|A0ABR0TN71|A0ABR0TN71_AURPU",96.2,1832,0,3500,"A0ABR0TN71"
"KAK5999658.1","tr|A0ABR0T5D2|A0ABR0T5D2_AURPU",100,1801,0,3491,"A0ABR0T5D2"
"KAK6004923.1","tr|A0ABR0TKE2|A0ABR0TKE2_AURPU",100,1811,0,3491,"A0ABR0TKE2"
"KAK6004548.1","tr|A0ABR0TJC3|A0ABR0TJC3_AURPU",100,1956,0,3487,"A0ABR0TJC3"
"CAD0028364.1","tr|A0ABR0TJ93|A0ABR0TJ93_AURPU",93.8,1879,0,3482,"A0ABR0TJ93"
"KAK6000974.1","tr|A0ABR0T9B4|A0ABR0T9B4_AURPU",100,1846,0,3445,"A0ABR0T9B4"
"KAK6002383.1","tr|A0ABR0TD63|A0ABR0TD63_AURPU",100,1851,0,3440,"A0ABR0TD63"
"KAK6005418.1","tr|A0ABR0TLU5|A0ABR0TLU5_AURPU",100,1951,0,3436,"A0ABR0TLU5"
"KAK6007415.1","tr|A0ABR0TU90|A0ABR0TU90_AURPU",100,1795,0,3432,"A0ABR0TU90"
"THX89786.1","tr|A0ABR0TRW8|A0ABR0TRW8_AURPU",94.4,1825,0,3420,"A0ABR0TRW8"
"KAK6002576.1","tr|A0ABR0TEW0|A0ABR0TEW0_AURPU",100,1813,0,3413,"A0ABR0TEW0"
"KAK6008858.1","tr|A0ABR0TWS7|A0ABR0TWS7_AURPU",100,1747,0,3413,"A0ABR0TWS7"
"KAK6004540.1","tr|A0ABR0TKU1|A0ABR0TKU1_AURPU",100,1720,0,3405,"A0ABR0TKU1"
"CAD0014016.1","tr|A0ABR0TQP1|A0ABR0TQP1_AURPU",93.4,1892,0,3385,"A0ABR0TQP1"
"CAD0048806.1","tr|A0ABR0TFE1|A0ABR0TFE1_AURPU",92.9,1938,0,3365,"A0ABR0TFE1"
"KAK6007243.1","tr|A0ABR0TS29|A0ABR0TS29_AURPU",100,1800,0,3360,"A0ABR0TS29"
"THV86009.1","tr|A0ABR0TKZ4|A0ABR0TKZ4_AURPU",89,1993,0,3357,"A0ABR0TKZ4"
"KAK6003058.1","tr|A0ABR0TF61|A0ABR0TF61_AURPU",100,1793,0,3334,"A0ABR0TF61"
"THV80320.1","tr|A0ABR0TLD4|A0ABR0TLD4_AURPU",89,2229,0,3289,"A0ABR0TLD4"
"KAK6004279.1","tr|A0ABR0TIL4|A0ABR0TIL4_AURPU",100,2020,0,3285,"A0ABR0TIL4"
"KAK5999538.1","tr|A0ABR0T518|A0ABR0T518_AURPU",100,1648,0,3260,"A0ABR0T518"
"KAK6005413.1","tr|A0ABR0TLU4|A0ABR0TLU4_AURPU",100,1882,0,3252,"A0ABR0TLU4"
"CAD0052239.1","tr|A0ABR0TJD2|A0ABR0TJD2_AURPU",92.1,1770,0,3236,"A0ABR0TJD2"
"KEQ86731.1","tr|A0ABR0TJX5|A0ABR0TJX5_AURPU",91.8,2049,0,3222,"A0ABR0TJX5"
"KAK6007723.1","tr|A0ABR0TTC0|A0ABR0TTC0_AURPU",100,1952,0,3221,"A0ABR0TTC0"
"KAK6007498.1","tr|A0ABR0TSP9|A0ABR0TSP9_AURPU",100,1764,0,3184,"A0ABR0TSP9"
"KAK6003907.1","tr|A0ABR0TIE3|A0ABR0TIE3_AURPU",100,1653,0,3178,"A0ABR0TIE3"
"KAK6006756.1","tr|A0ABR0TSA1|A0ABR0TSA1_AURPU",100,1680,0,3177,"A0ABR0TSA1"
"KAK5999634.1","tr|A0ABR0T5Y2|A0ABR0T5Y2_AURPU",100,1710,0,3157,"A0ABR0T5Y2"
"KAK6006915.1","tr|A0ABR0TR29|A0ABR0TR29_AURPU",100,1652,0,3156,"A0ABR0TR29"
"KAK6008632.1","tr|A0ABR0TX07|A0ABR0TX07_AURPU",100,1644,0,3154,"A0ABR0TX07"
"THW65773.1","tr|A0ABR0TQU2|A0ABR0TQU2_AURPU",93.3,1737,0,3142,"A0ABR0TQU2"
"KAK6003296.1","tr|A0ABR0TGX9|A0ABR0TGX9_AURPU",100,1824,0,3141,"A0ABR0TGX9"
"KAK6007266.1","tr|A0ABR0TTT2|A0ABR0TTT2_AURPU",100,1701,0,3135,"A0ABR0TTT2"
"KAK6005143.1","tr|A0ABR0TL19|A0ABR0TL19_AURPU",100,1635,0,3128,"A0ABR0TL19"
"KAK6005292.1","tr|A0ABR0TLS2|A0ABR0TLS2_AURPU",100,1652,0,3128,"A0ABR0TLS2"
"KAK6007846.1","tr|A0ABR0TTN1|A0ABR0TTN1_AURPU",100,1650,0,3127,"A0ABR0TTN1"
"KAK6003231.1","tr|A0ABR0TH44|A0ABR0TH44_AURPU",100,1597,0,3126,"A0ABR0TH44"
"KAK6008746.1","tr|A0ABR0TW87|A0ABR0TW87_AURPU",100,1632,0,3124,"A0ABR0TW87"
"OBW66287.1","tr|A0ABR0TP27|A0ABR0TP27_AURPU",90,1837,0,3123,"A0ABR0TP27"
"KAK6003346.1","tr|A0ABR0TFW9|A0ABR0TFW9_AURPU",100,1763,0,3121,"A0ABR0TFW9"
"KAK6005635.1","tr|A0ABR0TNW6|A0ABR0TNW6_AURPU",100,1633,0,3102,"A0ABR0TNW6"
"THX07090.1","tr|A0ABR0TKN2|A0ABR0TKN2_AURPU",93.6,1794,0,3095,"A0ABR0TKN2"
"CAD0014208.1","tr|A0ABR0TNW5|A0ABR0TNW5_AURPU",90.5,1691,0,3092,"A0ABR0TNW5"
"TIA51670.1","tr|A0ABR0TIH4|A0ABR0TIH4_AURPU",90,1758,0,3085,"A0ABR0TIH4"
"KAK6003994.1","tr|A0ABR0THT0|A0ABR0THT0_AURPU",100,1582,0,3084,"A0ABR0THT0"
"KAK6004372.1","tr|A0ABR0TJR6|A0ABR0TJR6_AURPU",100,1541,0,3077,"A0ABR0TJR6"
"KAK6000037.1","tr|A0ABR0T7F9|A0ABR0T7F9_AURPU",100,1501,0,3075,"A0ABR0T7F9"
"KAK6005891.1","tr|A0ABR0TP70|A0ABR0TP70_AURPU",100,1615,0,3060,"A0ABR0TP70"
"KAK6008018.1","tr|A0ABR0TUB6|A0ABR0TUB6_AURPU",100,1527,0,3053,"A0ABR0TUB6"
"KAK6005183.1","tr|A0ABR0TL68|A0ABR0TL68_AURPU",100,1579,0,3049,"A0ABR0TL68"
"KAK6003036.1","tr|A0ABR0TGK4|A0ABR0TGK4_AURPU",100,1579,0,3035,"A0ABR0TGK4"
"KAK6004140.1","tr|A0ABR0TI74|A0ABR0TI74_AURPU",100,1513,0,3031,"A0ABR0TI74"
"KAK5999518.1","tr|A0ABR0T4W6|A0ABR0T4W6_AURPU",100,1658,0,3029,"A0ABR0T4W6"
"CAD0042661.1","tr|A0ABR0TVG4|A0ABR0TVG4_AURPU",90.7,1716,0,3029,"A0ABR0TVG4"
"KAK6001669.1","tr|A0ABR0TB45|A0ABR0TB45_AURPU",100,1559,0,3028,"A0ABR0TB45"
"KAK6005684.1","tr|A0ABR0TMN8|A0ABR0TMN8_AURPU",100,1548,0,3018,"A0ABR0TMN8"
"KAK6000077.1","tr|A0ABR0T6M4|A0ABR0T6M4_AURPU",100,1612,0,3010,"A0ABR0T6M4"
"KAK6000594.1","tr|A0ABR0T8M0|A0ABR0T8M0_AURPU",100,1697,0,2991,"A0ABR0T8M0"
"KAK6005196.1","tr|A0ABR0TMQ0|A0ABR0TMQ0_AURPU",100,1529,0,2985,"A0ABR0TMQ0"
"KAK6001075.1","tr|A0ABR0TAN8|A0ABR0TAN8_AURPU",100,1775,0,2984,"A0ABR0TAN8"
"KAK6003395.1","tr|A0ABR0THJ4|A0ABR0THJ4_AURPU",100,1494,0,2982,"A0ABR0THJ4"
"KAK6003887.1","tr|A0ABR0THH7|A0ABR0THH7_AURPU",100,1519,0,2975,"A0ABR0THH7"
"THX98658.1","tr|A0ABR0TLJ0|A0ABR0TLJ0_AURPU",91.4,1644,0,2974,"A0ABR0TLJ0"
"KAK6007572.1","tr|A0ABR0TTC2|A0ABR0TTC2_AURPU",100,1590,0,2974,"A0ABR0TTC2"
"KAK6002092.1","tr|A0ABR0TD76|A0ABR0TD76_AURPU",100,1941,0,2973,"A0ABR0TD76"
"KAK6007734.1","tr|A0ABR0TU35|A0ABR0TU35_AURPU",100,1609,0,2958,"A0ABR0TU35"
"CAC9891534.1","tr|A0ABR0TTD7|A0ABR0TTD7_AURPU",94.5,1584,0,2949,"A0ABR0TTD7"
"CAC9895234.1","tr|A0ABR0T718|A0ABR0T718_AURPU",93,1662,0,2948,"A0ABR0T718"
"KAK6000023.1","tr|A0ABR0T6G1|A0ABR0T6G1_AURPU",100,1508,0,2940,"A0ABR0T6G1"
"KAK6001413.1","tr|A0ABR0TAE3|A0ABR0TAE3_AURPU",100,1617,0,2940,"A0ABR0TAE3"
"KAK6004655.1","tr|A0ABR0TL89|A0ABR0TL89_AURPU",100,1509,0,2939,"A0ABR0TL89"
"KAK6005691.1","tr|A0ABR0TP73|A0ABR0TP73_AURPU",100,1524,0,2939,"A0ABR0TP73"
"CAD0020017.1","tr|A0ABR0TE34|A0ABR0TE34_AURPU",89.4,1560,0,2919,"A0ABR0TE34"
"KAK6006938.1","tr|A0ABR0TR70|A0ABR0TR70_AURPU",100,1704,0,2915,"A0ABR0TR70"
"KAK6004138.1","tr|A0ABR0TI65|A0ABR0TI65_AURPU",100,1540,0,2907,"A0ABR0TI65"
"KAK6007200.1","tr|A0ABR0TRX8|A0ABR0TRX8_AURPU",100,1570,0,2907,"A0ABR0TRX8"
"KAK6007047.1","tr|A0ABR0TRV6|A0ABR0TRV6_AURPU",100,1483,0,2900,"A0ABR0TRV6"
"KAK6001822.1","tr|A0ABR0TCG6|A0ABR0TCG6_AURPU",100,1441,0,2896,"A0ABR0TCG6"
"KEQ85517.1","tr|A0ABR0TAR5|A0ABR0TAR5_AURPU",94.3,1568,0,2881,"A0ABR0TAR5"
"KAK6000350.1","tr|A0ABR0T8N8|A0ABR0T8N8_AURPU",100,1509,0,2879,"A0ABR0T8N8"
"THV75573.1","tr|A0ABR0TWG8|A0ABR0TWG8_AURPU",96,1490,0,2866,"A0ABR0TWG8"
"THY13809.1","tr|A0ABR0TIH0|A0ABR0TIH0_AURPU",91.8,1859,0,2865,"A0ABR0TIH0"
"KAK6008261.1","tr|A0ABR0TVQ8|A0ABR0TVQ8_AURPU",100,1475,0,2864,"A0ABR0TVQ8"
"KAK6002893.1","tr|A0ABR0TEP0|A0ABR0TEP0_AURPU",100,1558,0,2854,"A0ABR0TEP0"
"KAK6000572.1","tr|A0ABR0T800|A0ABR0T800_AURPU",100,1616,0,2853,"A0ABR0T800"
"KAK6001441.1","tr|A0ABR0TAH8|A0ABR0TAH8_AURPU",100,1825,0,2840,"A0ABR0TAH8"
"KAK6008647.1","tr|A0ABR0TX17|A0ABR0TX17_AURPU",100,1502,0,2835,"A0ABR0TX17"
"KAK6002349.1","tr|A0ABR0TDM7|A0ABR0TDM7_AURPU",100,1489,0,2833,"A0ABR0TDM7"
"KAK6003927.1","tr|A0ABR0THV4|A0ABR0THV4_AURPU",100,1485,0,2833,"A0ABR0THV4"
"KAK6001276.1","tr|A0ABR0TA09|A0ABR0TA09_AURPU",100,1436,0,2832,"A0ABR0TA09"
"KAK6000267.1","tr|A0ABR0T7H6|A0ABR0T7H6_AURPU",100,1453,0,2828,"A0ABR0T7H6"
"KAK6003095.1","tr|A0ABR0TGP8|A0ABR0TGP8_AURPU",100,1417,0,2823,"A0ABR0TGP8"
"KAK6007717.1","tr|A0ABR0TUF4|A0ABR0TUF4_AURPU",100,1519,0,2818,"A0ABR0TUF4"
"KAK6007425.1","tr|A0ABR0TSJ7|A0ABR0TSJ7_AURPU",100,1410,0,2814,"A0ABR0TSJ7"
"KAK5999914.1","tr|A0ABR0T639|A0ABR0T639_AURPU",100,1709,0,2809,"A0ABR0T639"
"THY23601.1","tr|A0ABR0TA91|A0ABR0TA91_AURPU",94.9,1483,0,2802,"A0ABR0TA91"
"THY34976.1","tr|A0ABR0TDG4|A0ABR0TDG4_AURPU",94.4,1545,0,2799,"A0ABR0TDG4"
"KAK6001254.1","tr|A0ABR0TAK3|A0ABR0TAK3_AURPU",100,1394,0,2788,"A0ABR0TAK3"
"KAK6005188.1","tr|A0ABR0TL65|A0ABR0TL65_AURPU",100,1476,0,2786,"A0ABR0TL65"
"KEQ88050.1","tr|A0ABR0TU07|A0ABR0TU07_AURPU",92.5,1603,0,2784,"A0ABR0TU07"
"KAK6004972.1","tr|A0ABR0TLE0|A0ABR0TLE0_AURPU",100,1452,0,2782,"A0ABR0TLE0"
"KAK6007001.1","tr|A0ABR0TS75|A0ABR0TS75_AURPU",100,1453,0,2779,"A0ABR0TS75"
"KAK6004227.1","tr|A0ABR0TIS3|A0ABR0TIS3_AURPU",100,1407,0,2773,"A0ABR0TIS3"
"KAK6003323.1","tr|A0ABR0TFW0|A0ABR0TFW0_AURPU",100,1489,0,2771,"A0ABR0TFW0"
"KAK6007029.1","tr|A0ABR0TRZ3|A0ABR0TRZ3_AURPU",100,1622,0,2771,"A0ABR0TRZ3"
"THV72727.1","tr|A0ABR0TLI7|A0ABR0TLI7_AURPU",93.1,1529,0,2767,"A0ABR0TLI7"
"KAK6003670.1","tr|A0ABR0TI84|A0ABR0TI84_AURPU",100,1411,0,2763,"A0ABR0TI84"
"KEQ80029.1","tr|A0ABR0TCQ5|A0ABR0TCQ5_AURPU",90.5,1541,0,2759,"A0ABR0TCQ5"
"KAK6008433.1","tr|A0ABR0TVF2|A0ABR0TVF2_AURPU",100,1454,0,2759,"A0ABR0TVF2"
"KAK6003328.1","tr|A0ABR0TFX3|A0ABR0TFX3_AURPU",100,1491,0,2758,"A0ABR0TFX3"
"KAK6001583.1","tr|A0ABR0TAW5|A0ABR0TAW5_AURPU",100,1443,0,2755,"A0ABR0TAW5"
"KAK6003365.1","tr|A0ABR0THH0|A0ABR0THH0_AURPU",100,1438,0,2752,"A0ABR0THH0"
"THV78767.1","tr|A0ABR0TU16|A0ABR0TU16_AURPU",90.6,1566,0,2748,"A0ABR0TU16"
"KAK6008719.1","tr|A0ABR0TW75|A0ABR0TW75_AURPU",100,1502,0,2748,"A0ABR0TW75"
"KAK6003221.1","tr|A0ABR0TGR0|A0ABR0TGR0_AURPU",100,1436,0,2745,"A0ABR0TGR0"
"THZ53078.1","tr|A0ABR0TU83|A0ABR0TU83_AURPU",91.7,1527,0,2744,"A0ABR0TU83"
"KAK6000299.1","tr|A0ABR0T7F3|A0ABR0T7F3_AURPU",100,1471,0,2742,"A0ABR0T7F3"
"KAK6004613.1","tr|A0ABR0TJK3|A0ABR0TJK3_AURPU",100,1482,0,2736,"A0ABR0TJK3"
"KAK6001266.1","tr|A0ABR0TBH5|A0ABR0TBH5_AURPU",100,1779,0,2730,"A0ABR0TBH5"
"KAK6006025.1","tr|A0ABR0TQ10|A0ABR0TQ10_AURPU",100,1425,0,2725,"A0ABR0TQ10"
"KAK6004633.1","tr|A0ABR0TJK5|A0ABR0TJK5_AURPU",100,1390,0,2717,"A0ABR0TJK5"
"THY95976.1","tr|A0ABR0TGV3|A0ABR0TGV3_AURPU",92.3,1526,0,2709,"A0ABR0TGV3"
"KAK6001629.1","tr|A0ABR0TBK6|A0ABR0TBK6_AURPU",100,1331,0,2704,"A0ABR0TBK6"
"KAK6004228.1","tr|A0ABR0TIG1|A0ABR0TIG1_AURPU",100,1409,0,2704,"A0ABR0TIG1"
"KAK6000891.1","tr|A0ABR0TAB3|A0ABR0TAB3_AURPU",100,1407,0,2703,"A0ABR0TAB3"
"KAK6000534.1","tr|A0ABR0T8G1|A0ABR0T8G1_AURPU",100,1423,0,2702,"A0ABR0T8G1"
"KAK6008629.1","tr|A0ABR0TVX5|A0ABR0TVX5_AURPU",100,1494,0,2701,"A0ABR0TVX5"
"THW20303.1","tr|A0ABR0TUE8|A0ABR0TUE8_AURPU",94.8,1472,0,2696,"A0ABR0TUE8"
"THX70993.1","tr|A0ABR0T5S6|A0ABR0T5S6_AURPU",90.6,1505,0,2694,"A0ABR0T5S6"
"KAK6004968.1","tr|A0ABR0TKI8|A0ABR0TKI8_AURPU",100,1406,0,2691,"A0ABR0TKI8"
"KAK6002785.1","tr|A0ABR0TFQ2|A0ABR0TFQ2_AURPU",100,1369,0,2685,"A0ABR0TFQ2"
"KAK6001187.1","tr|A0ABR0T9R8|A0ABR0T9R8_AURPU",100,1371,0,2683,"A0ABR0T9R8"
"KAK6002072.1","tr|A0ABR0TCA2|A0ABR0TCA2_AURPU",100,1516,0,2683,"A0ABR0TCA2"
"KAK6006238.1","tr|A0ABR0TP79|A0ABR0TP79_AURPU",100,1426,0,2682,"A0ABR0TP79"
"KAK6003812.1","tr|A0ABR0THA2|A0ABR0THA2_AURPU",100,1354,0,2680,"A0ABR0THA2"
"KAK6000118.1","tr|A0ABR0T6R1|A0ABR0T6R1_AURPU",100,1412,0,2677,"A0ABR0T6R1"
"KAK6008701.1","tr|A0ABR0TW40|A0ABR0TW40_AURPU",100,1550,0,2674,"A0ABR0TW40"
"KAK6006072.1","tr|A0ABR0TP01|A0ABR0TP01_AURPU",100,1382,0,2673,"A0ABR0TP01"
"KAK6002515.1","tr|A0ABR0TEV8|A0ABR0TEV8_AURPU",100,1404,0,2669,"A0ABR0TEV8"
"KAK5999325.1","tr|A0ABR0T4G5|A0ABR0T4G5_AURPU",100,1392,0,2667,"A0ABR0T4G5"
"CAD0015670.1","tr|A0ABR0T9L3|A0ABR0T9L3_AURPU",93.7,1454,0,2662,"A0ABR0T9L3"
"KAK5999284.1","tr|A0ABR0T4E2|A0ABR0T4E2_AURPU",100,1398,0,2658,"A0ABR0T4E2"
"KAK6003258.1","tr|A0ABR0TFQ0|A0ABR0TFQ0_AURPU",100,1423,0,2652,"A0ABR0TFQ0"
"KAK6002238.1","tr|A0ABR0TCS0|A0ABR0TCS0_AURPU",100,1318,0,2651,"A0ABR0TCS0"
"KAK6003933.1","tr|A0ABR0THL5|A0ABR0THL5_AURPU",100,1378,0,2649,"A0ABR0THL5"
"KAK6004671.1","tr|A0ABR0TLA1|A0ABR0TLA1_AURPU",100,1347,0,2633,"A0ABR0TLA1"
"CAD0049062.1","tr|A0ABR0T7J1|A0ABR0T7J1_AURPU",89.2,1640,0,2632,"A0ABR0T7J1"
"THY68025.1","tr|A0ABR0TBE1|A0ABR0TBE1_AURPU",94.1,1382,0,2629,"A0ABR0TBE1"
"KAK6002783.1","tr|A0ABR0TED0|A0ABR0TED0_AURPU",100,2263,0,2628,"A0ABR0TED0"
"KAK6006918.1","tr|A0ABR0TR36|A0ABR0TR36_AURPU",100,1358,0,2627,"A0ABR0TR36"
