"Protein_ID","UniProt_ID","Identity","Alignment_length","E_value","Bit_score","UniProt_accession"
"KEQ78952.1","tr|A0ABR0TBX2|A0ABR0TBX2_AURPU",82.2,596,0,895,"A0ABR0TBX2"
"KEQ79002.1","tr|A0ABR0TID2|A0ABR0TID2_AURPU",87.9,545,0,995,"A0ABR0TID2"
"KEQ79003.1","tr|A0ABR0TIB1|A0ABR0TIB1_AURPU",87.8,296,2.51e-189,520,"A0ABR0TIB1"
"KEQ79078.1","tr|A0ABR0TA06|A0ABR0TA06_AURPU",79.3,305,1.14e-163,461,"A0ABR0TA06"
"KEQ79194.1","tr|A0ABR0TUE6|A0ABR0TUE6_AURPU",74.5,486,2.72e-270,741,"A0ABR0TUE6"
"KEQ79206.1","tr|A0ABR0TDM5|A0ABR0TDM5_AURPU",86.4,339,4.04e-198,546,"A0ABR0TDM5"
"KEQ79211.1","tr|A0ABR0TD75|A0ABR0TD75_AURPU",94,282,5.09e-197,538,"A0ABR0TD75"
"KEQ79217.1","tr|A0ABR0TCF3|A0ABR0TCF3_AURPU",90,559,0,1036,"A0ABR0TCF3"
"KEQ79225.1","tr|A0ABR0TDG7|A0ABR0TDG7_AURPU",80.5,447,5.56e-237,652,"A0ABR0TDG7"
"KEQ79251.1","tr|A0ABR0TCX3|A0ABR0TCX3_AURPU",90.1,486,0,907,"A0ABR0TCX3"
"KEQ79308.1","tr|A0ABR0TUG1|A0ABR0TUG1_AURPU",95.4,543,0,1043,"A0ABR0TUG1"
"KEQ79317.1","tr|A0ABR0TV32|A0ABR0TV32_AURPU",76,646,0,912,"A0ABR0TV32"
"KEQ79325.1","tr|A0ABR0TUC0|A0ABR0TUC0_AURPU",97.5,437,8.06000000021283e-314,847,"A0ABR0TUC0"
"KEQ79329.1","tr|A0ABR0TW77|A0ABR0TW77_AURPU",78.3,360,1.26e-209,577,"A0ABR0TW77"
"KEQ79331.1","tr|A0ABR0TVH9|A0ABR0TVH9_AURPU",85.9,562,0,931,"A0ABR0TVH9"
"KEQ79364.1","tr|A0ABR0TTC9|A0ABR0TTC9_AURPU",79.3,309,2.8e-169,470,"A0ABR0TTC9"
"KEQ79378.1","tr|A0ABR0TSV7|A0ABR0TSV7_AURPU",86.2,585,0,1043,"A0ABR0TSV7"
"KEQ79416.1","tr|A0ABR0TSK2|A0ABR0TSK2_AURPU",77,209,3.92e-103,295,"A0ABR0TSK2"
"KEQ79440.1","tr|A0ABR0TS14|A0ABR0TS14_AURPU",77.7,453,4.31e-266,727,"A0ABR0TS14"
"KEQ79443.1","tr|A0ABR0TS66|A0ABR0TS66_AURPU",81.2,702,0,1057,"A0ABR0TS66"
"KEQ79516.1","tr|A0ABR0THY3|A0ABR0THY3_AURPU",84,511,0,900,"A0ABR0THY3"
"KEQ79536.1","tr|A0ABR0TJU0|A0ABR0TJU0_AURPU",93,818,0,1496,"A0ABR0TJU0"
"KEQ79569.1","tr|A0ABR0TX58|A0ABR0TX58_AURPU",82.5,229,4.29e-143,398,"A0ABR0TX58"
"KEQ79577.1","tr|A0ABR0TQI5|A0ABR0TQI5_AURPU",94,668,0,1299,"A0ABR0TQI5"
"KEQ79582.1","tr|A0ABR0TQZ9|A0ABR0TQZ9_AURPU",77.8,374,3.64e-161,459,"A0ABR0TQZ9"
"KEQ79587.1","tr|A0ABR0TS49|A0ABR0TS49_AURPU",92.9,546,0,1017,"A0ABR0TS49"
"KEQ79662.1","tr|A0ABR0TX81|A0ABR0TX81_AURPU",95.4,504,0,968,"A0ABR0TX81"
"KEQ79669.1","tr|A0ABR0TWT4|A0ABR0TWT4_AURPU",95.4,348,9.42e-236,642,"A0ABR0TWT4"
"KEQ79683.1","tr|A0ABR0TRM2|A0ABR0TRM2_AURPU",74.6,579,0,880,"A0ABR0TRM2"
"KEQ79722.1","tr|A0ABR0TR51|A0ABR0TR51_AURPU",95,1105,0,2051,"A0ABR0TR51"
"KEQ79739.1","tr|A0ABR0TQ61|A0ABR0TQ61_AURPU",86.9,605,0,1004,"A0ABR0TQ61"
"KEQ79815.1","tr|A0ABR0TLJ6|A0ABR0TLJ6_AURPU",96.1,560,0,1075,"A0ABR0TLJ6"
"KEQ79866.1","tr|A0ABR0TJR3|A0ABR0TJR3_AURPU",77.8,257,3.25e-138,387,"A0ABR0TJR3"
"KEQ79914.1","tr|A0ABR0TKB5|A0ABR0TKB5_AURPU",85.3,442,7.94e-275,747,"A0ABR0TKB5"
"KEQ79975.1","tr|A0ABR0T5N1|A0ABR0T5N1_AURPU",80.4,637,0,1071,"A0ABR0T5N1"
"KEQ79997.1","tr|A0ABR0T510|A0ABR0T510_AURPU",77.2,408,8.25e-241,659,"A0ABR0T510"
"KEQ80022.1","tr|A0ABR0TFQ5|A0ABR0TFQ5_AURPU",86.1,468,5.46e-279,761,"A0ABR0TFQ5"
"KEQ80029.1","tr|A0ABR0TCQ5|A0ABR0TCQ5_AURPU",90.5,1541,0,2759,"A0ABR0TCQ5"
"KEQ80031.1","tr|A0ABR0TCP3|A0ABR0TCP3_AURPU",86.4,330,7.69e-219,597,"A0ABR0TCP3"
"KEQ80037.1","tr|A0ABR0TCR9|A0ABR0TCR9_AURPU",83,288,3.94e-168,465,"A0ABR0TCR9"
"KEQ80049.1","tr|A0ABR0T617|A0ABR0T617_AURPU",95.3,423,3.28000000025702e-314,847,"A0ABR0T617"
"KEQ80066.1","tr|A0ABR0TNS8|A0ABR0TNS8_AURPU",76.5,888,7.47e-297,838,"A0ABR0TNS8"
"KEQ80074.1","tr|A0ABR0TMJ9|A0ABR0TMJ9_AURPU",89,591,0,1037,"A0ABR0TMJ9"
"KEQ80081.1","tr|A0ABR0TM83|A0ABR0TM83_AURPU",88.8,572,0,1032,"A0ABR0TM83"
"KEQ80095.1","tr|A0ABR0TM72|A0ABR0TM72_AURPU",85.4,280,5.88e-160,444,"A0ABR0TM72"
"KEQ80098.1","tr|A0ABR0TM69|A0ABR0TM69_AURPU",86.6,492,5.29e-303,826,"A0ABR0TM69"
"KEQ80106.1","tr|A0ABR0TMQ3|A0ABR0TMQ3_AURPU",85.8,688,0,1212,"A0ABR0TMQ3"
"KEQ80115.1","tr|A0ABR0TM75|A0ABR0TM75_AURPU",95.3,316,2.33e-213,582,"A0ABR0TM75"
"KEQ80137.1","tr|A0ABR0TMC1|A0ABR0TMC1_AURPU",77.5,275,2.82e-145,406,"A0ABR0TMC1"
"KEQ80151.1","tr|A0ABR0TM57|A0ABR0TM57_AURPU",97.4,381,1.96e-272,737,"A0ABR0TM57"
"KEQ80161.1","tr|A0ABR0TM18|A0ABR0TM18_AURPU",81.2,568,0,929,"A0ABR0TM18"
"KEQ80235.1","tr|A0ABR0TDM8|A0ABR0TDM8_AURPU",96.7,240,5.95e-153,423,"A0ABR0TDM8"
"KEQ80238.1","tr|A0ABR0TDX9|A0ABR0TDX9_AURPU",94.1,272,6.98e-177,486,"A0ABR0TDX9"
"KEQ80249.1","tr|A0ABR0TDL4|A0ABR0TDL4_AURPU",92.1,897,0,1714,"A0ABR0TDL4"
"KEQ80256.1","tr|A0ABR0TDX0|A0ABR0TDX0_AURPU",76.5,396,1.89e-199,552,"A0ABR0TDX0"
"KEQ80257.1","tr|A0ABR0TEQ1|A0ABR0TEQ1_AURPU",87.8,797,0,1412,"A0ABR0TEQ1"
"KEQ80273.1","tr|A0ABR0TEN6|A0ABR0TEN6_AURPU",87.5,543,0,951,"A0ABR0TEN6"
"KEQ80292.1","tr|A0ABR0TE23|A0ABR0TE23_AURPU",94.7,696,0,1391,"A0ABR0TE23"
"KEQ80297.1","tr|A0ABR0TEW3|A0ABR0TEW3_AURPU",81.9,227,4.92e-136,382,"A0ABR0TEW3"
"KEQ80325.1","tr|A0ABR0T7E0|A0ABR0T7E0_AURPU",88.9,287,1.65e-196,541,"A0ABR0T7E0"
"KEQ80367.1","tr|A0ABR0T9S6|A0ABR0T9S6_AURPU",71.8,323,5.36e-154,432,"A0ABR0T9S6"
"KEQ80384.1","tr|A0ABR0TGN5|A0ABR0TGN5_AURPU",91.2,422,1.18e-264,721,"A0ABR0TGN5"
"KEQ80404.1","tr|A0ABR0THL7|A0ABR0THL7_AURPU",92.2,670,0,1196,"A0ABR0THL7"
"KEQ80416.1","tr|A0ABR0TB88|A0ABR0TB88_AURPU",87.7,504,6.44e-299,816,"A0ABR0TB88"
"KEQ80488.1","tr|A0ABR0TPG9|A0ABR0TPG9_AURPU",70.8,2209,0,1452,"A0ABR0TPG9"
"KEQ80490.1","tr|A0ABR0TQ78|A0ABR0TQ78_AURPU",98.3,349,1.34e-256,694,"A0ABR0TQ78"
"KEQ80500.1","tr|A0ABR0TNJ3|A0ABR0TNJ3_AURPU",92.6,552,0,1022,"A0ABR0TNJ3"
"KEQ80505.1","tr|A0ABR0TQ51|A0ABR0TQ51_AURPU",78.4,306,6.7e-148,426,"A0ABR0TQ51"
"KEQ80506.1","tr|A0ABR0TPF4|A0ABR0TPF4_AURPU",79.2,583,0,941,"A0ABR0TPF4"
"KEQ80517.1","tr|A0ABR0T603|A0ABR0T603_AURPU",87.6,1302,0,2209,"A0ABR0T603"
"KEQ80520.1","tr|A0ABR0TPX8|A0ABR0TPX8_AURPU",93.8,387,2.13e-267,733,"A0ABR0TPX8"
"KEQ80540.1","tr|A0ABR0T6R9|A0ABR0T6R9_AURPU",85.9,270,5.37e-156,433,"A0ABR0T6R9"
"KEQ80544.1","tr|A0ABR0T5T7|A0ABR0T5T7_AURPU",84.2,330,2.95e-174,484,"A0ABR0T5T7"
"KEQ80555.1","tr|A0ABR0TPL3|A0ABR0TPL3_AURPU",88.8,996,0,1756,"A0ABR0TPL3"
"KEQ80564.1","tr|A0ABR0TNQ9|A0ABR0TNQ9_AURPU",93.2,1097,0,1979,"A0ABR0TNQ9"
"KEQ80587.1","tr|A0ABR0TQ22|A0ABR0TQ22_AURPU",80.8,600,0,952,"A0ABR0TQ22"
"KEQ80593.1","tr|A0ABR0TNU4|A0ABR0TNU4_AURPU",83.9,590,3.81e-308,846,"A0ABR0TNU4"
"KEQ80604.1","tr|A0ABR0TNS2|A0ABR0TNS2_AURPU",82.1,643,0,1076,"A0ABR0TNS2"
"KEQ80610.1","tr|A0ABR0TPC9|A0ABR0TPC9_AURPU",97.2,318,7.74e-229,622,"A0ABR0TPC9"
"KEQ80616.1","tr|A0ABR0TNZ5|A0ABR0TNZ5_AURPU",79.8,435,2.19e-239,658,"A0ABR0TNZ5"
"KEQ80633.1","tr|A0ABR0TET4|A0ABR0TET4_AURPU",72.2,533,3.19e-287,786,"A0ABR0TET4"
"KEQ80647.1","tr|A0ABR0T6V2|A0ABR0T6V2_AURPU",86.7,407,4.57e-265,723,"A0ABR0T6V2"
"KEQ80674.1","tr|A0ABR0T678|A0ABR0T678_AURPU",84.9,385,3.36e-243,669,"A0ABR0T678"
"KEQ80728.1","tr|A0ABR0TNG0|A0ABR0TNG0_AURPU",85.9,283,2.21e-170,471,"A0ABR0TNG0"
"KEQ80732.1","tr|A0ABR0TNG1|A0ABR0TNG1_AURPU",84.4,435,1.56e-272,748,"A0ABR0TNG1"
"KEQ80748.1","tr|A0ABR0TP79|A0ABR0TP79_AURPU",74.6,1437,0,2054,"A0ABR0TP79"
"KEQ80750.1","tr|A0ABR0TQ54|A0ABR0TQ54_AURPU",85.9,277,8.16e-187,513,"A0ABR0TQ54"
"KEQ80779.1","tr|A0ABR0TQ80|A0ABR0TQ80_AURPU",72.5,650,0,956,"A0ABR0TQ80"
"KEQ80807.1","tr|A0ABR0T7Q0|A0ABR0T7Q0_AURPU",79.2,1318,0,2004,"A0ABR0T7Q0"
"KEQ80818.1","tr|A0ABR0T6R8|A0ABR0T6R8_AURPU",89.5,598,0,1091,"A0ABR0T6R8"
"KEQ80825.1","tr|A0ABR0T6Q0|A0ABR0T6Q0_AURPU",94.1,253,4.69e-168,466,"A0ABR0T6Q0"
"KEQ80849.1","tr|A0ABR0TE79|A0ABR0TE79_AURPU",71.9,253,4.46e-135,382,"A0ABR0TE79"
"KEQ80878.1","tr|A0ABR0T6P9|A0ABR0T6P9_AURPU",84.1,454,1.64e-287,781,"A0ABR0T6P9"
"KEQ80883.1","tr|A0ABR0T6H8|A0ABR0T6H8_AURPU",81.9,249,2.8e-126,356,"A0ABR0T6H8"
"KEQ80900.1","tr|A0ABR0T6W1|A0ABR0T6W1_AURPU",87.3,418,6.26e-252,689,"A0ABR0T6W1"
"KEQ80944.1","tr|A0ABR0TP85|A0ABR0TP85_AURPU",77.4,1432,0,1999,"A0ABR0TP85"
"KEQ80958.1","tr|A0ABR0TN26|A0ABR0TN26_AURPU",81.8,517,0,875,"A0ABR0TN26"
"KEQ80962.1","tr|A0ABR0TMS8|A0ABR0TMS8_AURPU",87.2,453,8.77e-286,777,"A0ABR0TMS8"
"KEQ80977.1","tr|A0ABR0TMS2|A0ABR0TMS2_AURPU",79.8,535,0,895,"A0ABR0TMS2"
"KEQ80999.1","tr|A0ABR0TMX7|A0ABR0TMX7_AURPU",83.5,309,6.28e-188,538,"A0ABR0TMX7"
"KEQ81001.1","tr|A0ABR0T6L8|A0ABR0T6L8_AURPU",79.7,543,0,887,"A0ABR0T6L8"
"KEQ81011.1","tr|A0ABR0TN06|A0ABR0TN06_AURPU",81.9,288,9.89e-156,433,"A0ABR0TN06"
"KEQ81013.1","tr|A0ABR0TN05|A0ABR0TN05_AURPU",91.4,315,2.63e-214,585,"A0ABR0TN05"
"KEQ81022.1","tr|A0ABR0TN43|A0ABR0TN43_AURPU",75.7,977,0,1395,"A0ABR0TN43"
"KEQ81040.1","tr|A0ABR0TN45|A0ABR0TN45_AURPU",91.4,977,0,1792,"A0ABR0TN45"
"KEQ81041.1","tr|A0ABR0TN75|A0ABR0TN75_AURPU",93,285,7.1e-162,449,"A0ABR0TN75"
"KEQ81043.1","tr|A0ABR0TN57|A0ABR0TN57_AURPU",97.4,269,1.05e-181,498,"A0ABR0TN57"
"KEQ81083.1","tr|A0ABR0TP84|A0ABR0TP84_AURPU",82.9,234,2.38e-134,393,"A0ABR0TP84"
"KEQ81087.1","tr|A0ABR0TNA1|A0ABR0TNA1_AURPU",82.5,377,2.4e-209,577,"A0ABR0TNA1"
"KEQ81132.1","tr|A0ABR0T784|A0ABR0T784_AURPU",84.4,423,9.12e-269,731,"A0ABR0T784"
"KEQ81140.1","tr|A0ABR0T781|A0ABR0T781_AURPU",85.6,381,6.95e-217,595,"A0ABR0T781"
"KEQ81148.1","tr|A0ABR0T775|A0ABR0T775_AURPU",87.6,515,0,899,"A0ABR0T775"
"KEQ81149.1","tr|A0ABR0T8J4|A0ABR0T8J4_AURPU",76.9,506,1.14e-242,671,"A0ABR0T8J4"
"KEQ81161.1","tr|A0ABR0T7J4|A0ABR0T7J4_AURPU",75.6,352,1.56e-188,543,"A0ABR0T7J4"
"KEQ81167.1","tr|A0ABR0T899|A0ABR0T899_AURPU",81.4,624,0,1079,"A0ABR0T899"
"KEQ81196.1","tr|A0ABR0T753|A0ABR0T753_AURPU",89.4,538,0,975,"A0ABR0T753"
"KEQ81241.1","tr|A0ABR0TKC5|A0ABR0TKC5_AURPU",84.6,532,0,883,"A0ABR0TKC5"
"KEQ81248.1","tr|A0ABR0TV81|A0ABR0TV81_AURPU",89.9,358,1.41e-244,665,"A0ABR0TV81"
"KEQ81317.1","tr|A0ABR0T5K1|A0ABR0T5K1_AURPU",73.4,346,2.06e-161,452,"A0ABR0T5K1"
"KEQ81332.1","tr|A0ABR0T4N5|A0ABR0T4N5_AURPU",78.7,211,8.6e-129,363,"A0ABR0T4N5"
"KEQ81417.1","tr|A0ABR0TS90|A0ABR0TS90_AURPU",97.8,409,1.91e-300,810,"A0ABR0TS90"
"KEQ81445.1","tr|A0ABR0TSG5|A0ABR0TSG5_AURPU",96.2,236,1.29e-170,468,"A0ABR0TSG5"
"KEQ81453.1","tr|A0ABR0TRH3|A0ABR0TRH3_AURPU",92.8,628,0,1090,"A0ABR0TRH3"
"KEQ81458.1","tr|A0ABR0TT56|A0ABR0TT56_AURPU",96.3,298,1.18e-197,541,"A0ABR0TT56"
"KEQ81473.1","tr|A0ABR0TRI9|A0ABR0TRI9_AURPU",84.2,615,0,1006,"A0ABR0TRI9"
"KEQ81476.1","tr|A0ABR0TRI4|A0ABR0TRI4_AURPU",83,564,0,896,"A0ABR0TRI4"
"KEQ81477.1","tr|A0ABR0TRK6|A0ABR0TRK6_AURPU",96.7,271,2.4e-188,515,"A0ABR0TRK6"
"KEQ81486.1","tr|A0ABR0TRK3|A0ABR0TRK3_AURPU",91.3,1034,0,1557,"A0ABR0TRK3"
"KEQ81500.1","tr|A0ABR0TS54|A0ABR0TS54_AURPU",85.8,323,2.21e-197,542,"A0ABR0TS54"
"KEQ81504.1","tr|A0ABR0TRS2|A0ABR0TRS2_AURPU",88.1,335,5.22e-200,550,"A0ABR0TRS2"
"KEQ81524.1","tr|A0ABR0TSX9|A0ABR0TSX9_AURPU",95.5,267,2.23e-176,488,"A0ABR0TSX9"
"KEQ81578.1","tr|A0ABR0TET9|A0ABR0TET9_AURPU",81.7,295,3.07e-172,476,"A0ABR0TET9"
"KEQ81581.1","tr|A0ABR0TRP9|A0ABR0TRP9_AURPU",97.1,342,6.55e-249,674,"A0ABR0TRP9"
"KEQ81619.1","tr|A0ABR0TIM4|A0ABR0TIM4_AURPU",81.6,591,0,989,"A0ABR0TIM4"
"KEQ81673.1","tr|A0ABR0T7S7|A0ABR0T7S7_AURPU",80.2,771,0,1249,"A0ABR0T7S7"
"KEQ81683.1","tr|A0ABR0T922|A0ABR0T922_AURPU",87.9,511,0,890,"A0ABR0T922"
"KEQ81698.1","tr|A0ABR0T9B2|A0ABR0T9B2_AURPU",79,552,2.55e-272,749,"A0ABR0T9B2"
"KEQ81701.1","tr|A0ABR0T7T6|A0ABR0T7T6_AURPU",84.2,619,0,1036,"A0ABR0T7T6"
"KEQ81732.1","tr|A0ABR0T7G9|A0ABR0T7G9_AURPU",90.7,626,0,1194,"A0ABR0T7G9"
"KEQ81735.1","tr|A0ABR0T7G5|A0ABR0T7G5_AURPU",80.9,460,4.26e-284,773,"A0ABR0T7G5"
"KEQ81741.1","tr|A0ABR0T7M6|A0ABR0T7M6_AURPU",93.6,925,0,1654,"A0ABR0T7M6"
"KEQ81790.1","tr|A0ABR0T907|A0ABR0T907_AURPU",83.9,1001,0,1665,"A0ABR0T907"
"KEQ81799.1","tr|A0ABR0T8Q4|A0ABR0T8Q4_AURPU",92.1,379,3.79e-252,689,"A0ABR0T8Q4"
"KEQ81810.1","tr|A0ABR0T7L3|A0ABR0T7L3_AURPU",98.3,459,0,906,"A0ABR0T7L3"
"KEQ81838.1","tr|A0ABR0T8M4|A0ABR0T8M4_AURPU",85.1,369,4.25e-230,628,"A0ABR0T8M4"
"KEQ81842.1","tr|A0ABR0T8U9|A0ABR0T8U9_AURPU",90.6,498,0,915,"A0ABR0T8U9"
"KEQ81885.1","tr|A0ABR0T9N1|A0ABR0T9N1_AURPU",94.4,305,4.09e-210,580,"A0ABR0T9N1"
"KEQ81891.1","tr|A0ABR0T836|A0ABR0T836_AURPU",83.5,948,0,1237,"A0ABR0T836"
"KEQ81904.1","tr|A0ABR0T8N0|A0ABR0T8N0_AURPU",87.2,484,6.58000000018723e-314,851,"A0ABR0T8N0"
"KEQ81917.1","tr|A0ABR0T850|A0ABR0T850_AURPU",73.3,655,4.95e-259,729,"A0ABR0T850"
"KEQ81919.1","tr|A0ABR0T8N5|A0ABR0T8N5_AURPU",85.8,646,0,1149,"A0ABR0T8N5"
"KEQ81927.1","tr|A0ABR0T8B5|A0ABR0T8B5_AURPU",94.8,732,0,1350,"A0ABR0T8B5"
"KEQ81943.1","tr|A0ABR0T9F7|A0ABR0T9F7_AURPU",95.5,401,1.59e-268,729,"A0ABR0T9F7"
"KEQ81961.1","tr|A0ABR0T9E0|A0ABR0T9E0_AURPU",79.1,230,6.1e-127,357,"A0ABR0T9E0"
"KEQ81964.1","tr|A0ABR0T874|A0ABR0T874_AURPU",70.2,329,2.37e-150,424,"A0ABR0T874"
"KEQ81967.1","tr|A0ABR0T882|A0ABR0T882_AURPU",91.6,1006,0,1649,"A0ABR0T882"
"KEQ82043.1","tr|A0ABR0T901|A0ABR0T901_AURPU",94.4,448,2.70000000000129e-313,846,"A0ABR0T901"
"KEQ82069.1","tr|A0ABR0T8B2|A0ABR0T8B2_AURPU",73.2,497,5.93e-275,754,"A0ABR0T8B2"
"KEQ82074.1","tr|A0ABR0T8N6|A0ABR0T8N6_AURPU",89.4,709,0,1122,"A0ABR0T8N6"
"KEQ82102.1","tr|A0ABR0THN3|A0ABR0THN3_AURPU",95.6,430,2.24e-291,807,"A0ABR0THN3"
"KEQ82104.1","tr|A0ABR0THM6|A0ABR0THM6_AURPU",83.6,324,6.61e-206,570,"A0ABR0THM6"
"KEQ82107.1","tr|A0ABR0TJ55|A0ABR0TJ55_AURPU",92.5,320,1.87e-220,601,"A0ABR0TJ55"
"KEQ82110.1","tr|A0ABR0THM7|A0ABR0THM7_AURPU",78.9,256,2.02e-144,403,"A0ABR0THM7"
"KEQ82117.1","tr|A0ABR0THP8|A0ABR0THP8_AURPU",97.1,701,0,1225,"A0ABR0THP8"
"KEQ82139.1","tr|A0ABR0THP9|A0ABR0THP9_AURPU",89.4,773,0,1083,"A0ABR0THP9"
"KEQ82164.1","tr|A0ABR0THR8|A0ABR0THR8_AURPU",74.9,495,3.08e-263,724,"A0ABR0THR8"
"KEQ82177.1","tr|A0ABR0THU9|A0ABR0THU9_AURPU",87.2,368,1.19e-239,653,"A0ABR0THU9"
"KEQ82186.1","tr|A0ABR0TJ66|A0ABR0TJ66_AURPU",97,503,0,978,"A0ABR0TJ66"
"KEQ82209.1","tr|A0ABR0THY1|A0ABR0THY1_AURPU",86.6,305,9.68e-144,405,"A0ABR0THY1"
"KEQ82213.1","tr|A0ABR0TJE2|A0ABR0TJE2_AURPU",98.7,471,0,885,"A0ABR0TJE2"
"KEQ82226.1","tr|A0ABR0TI56|A0ABR0TI56_AURPU",90.7,236,2.07e-150,417,"A0ABR0TI56"
"KEQ82230.1","tr|A0ABR0TI39|A0ABR0TI39_AURPU",90.9,209,8.75e-142,392,"A0ABR0TI39"
"KEQ82235.1","tr|A0ABR0TI75|A0ABR0TI75_AURPU",91.2,781,0,1405,"A0ABR0TI75"
"KEQ82241.1","tr|A0ABR0TIM6|A0ABR0TIM6_AURPU",93.4,1248,0,2155,"A0ABR0TIM6"
"KEQ82256.1","tr|A0ABR0TJ18|A0ABR0TJ18_AURPU",77.4,368,1.13e-197,547,"A0ABR0TJ18"
"KEQ82260.1","tr|A0ABR0TI65|A0ABR0TI65_AURPU",82,1547,0,2414,"A0ABR0TI65"
"KEQ82263.1","tr|A0ABR0TI62|A0ABR0TI62_AURPU",87.7,851,0,1483,"A0ABR0TI62"
"KEQ82264.1","tr|A0ABR0TIA7|A0ABR0TIA7_AURPU",92.7,313,2.11e-203,557,"A0ABR0TIA7"
"KEQ82275.1","tr|A0ABR0TIH1|A0ABR0TIH1_AURPU",96.5,402,5.43e-276,748,"A0ABR0TIH1"
