UniProt_accession,Protein_name,Gene,Length
A0ABR0TNL5,BTB domain-containing protein,QM012_007172,479
A0ABR0TNL9,Uncharacterized protein,QM012_007153,299
A0ABR0TNZ3,Microtubule associated protein,QM012_006564,787
A0ABR0TP39,Sin3 binding protein,QM012_006622,389
A0ABR0TPC0,D-xylulose reductase,QM012_006713,361
A0ABR0TPT2,Xaa-Pro dipeptidyl-peptidase C-terminal domain-containing protein,QM012_007592,601
A0ABR0TQT3,Homeobox domain-containing protein,QM012_006871,798
A0ABR0TR63,Uncharacterized protein,QM012_005952,219
A0ABR0TRH2,Transglutaminase-like domain-containing protein,QM012_005920,672
A0ABR0TRH7,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_006047,552
A0ABR0TRJ3,Ribosomal protein L11,QM012_005887,178
A0ABR0TRQ9,O-acyltransferase,QM012_006120,540
A0ABR0TS29,U3 small nucleolar RNA-associated protein 10,QM012_006251,1800
A0ABR0TSF2,ABC transporter domain-containing protein,QM012_006099,651
A0ABR0TSI9,Elongation factor 1-alpha,QM012_005838,731
A0ABR0TSU1,Putative lipoate-protein ligase A,QM012_004342,410
A0ABR0TSX9,Sidoreflexin,QM012_005989,337
A0ABR0TT44,TIP41-domain-containing protein,QM012_006048,272
A0ABR0TTQ1,Uncharacterized protein,QM012_004687,684
A0ABR0TTR4,Galactose oxidase,QM012_006293,432
A0ABR0TU45,U3 small nucleolar RNA-associated protein 6 N-terminal domain-containing protein,QM012_004757,450
A0ABR0TUU2,Uncharacterized protein,QM012_000157,188
A0ABR0TV07,NADP-dependent oxidoreductase domain-containing protein,QM012_004515,297
A0ABR0TVD7,Fe2OG dioxygenase domain-containing protein,QM012_000180,346
A0ABR0TVF9,Subtilisin-like protein,QM012_000275,888
A0ABR0TVQ0,Uncharacterized protein,QM012_004770,861
A0ABR0TVU8,Sodium/hydrogen exchanger,QM012_000526,668
A0ABR0TVV8,THIF-type NAD/FAD binding fold domain-containing protein,QM012_000517,443
A0ABR0TWW7,Vacuolar protein sorting-associated protein 17,QM012_000328,617
A0ABR0TWX3,Wax synthase domain-containing protein,QM012_000627,545
A0ABR0TWY3,Cora-domain-containing protein,QM012_000505,654
A0ABR0TX93,Acyl-CoA dehydrogenase NM domain-like protein,QM012_000493,478
A0ABR0TXX5,Xylanolytic transcriptional activator regulatory domain-containing protein,QM012_000773,825
A0ABR0T4K9,Chromatin associated protein KTI12,QM012_005496,292
A0ABR0T4L4,F-box domain-containing protein,QM012_005560,485
A0ABR0T4X9,Glutamate pyruvate transaminase,QM012_005343,512
A0ABR0T506,Uncharacterized protein,QM012_005537,343
A0ABR0T5Q6,biotin synthase,QM012_005174,397
A0ABR0T5R3,Uncharacterized protein,QM012_005505,145
A0ABR0T6C4,Transcription factor domain-containing protein,QM012_005045,382
A0ABR0T6H9,Uncharacterized protein,QM012_004036,329
A0ABR0T6R9,HIG1 domain-containing protein,QM012_005203,270
A0ABR0T723,Mitochondrial carrier,QM012_004990,405
A0ABR0T746,Small ribosomal subunit protein uS17 N-terminal domain-containing protein,QM012_003906,161
A0ABR0T792,Uncharacterized protein,QM012_005202,292
A0ABR0T8I8,DNA replication licensing factor MCM2,QM012_003478,867
A0ABR0T8N6,RING-type domain-containing protein,QM012_003397,783
A0ABR0T8P3,F-box domain-containing protein,QM012_003524,235
A0ABR0T959,MoaB/Mog domain-containing protein,QM012_002997,679
A0ABR0T9D4,V-SNARE coiled-coil homology domain-containing protein,QM012_003136,110
A0ABR0T9N1,FAD/NAD(P)-binding domain-containing protein,QM012_003455,420
A0ABR0TAD6,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_002724,591
A0ABR0TAQ6,NEDD8-activating enzyme E1 regulatory subunit,QM012_003189,570
A0ABR0TAR4,Tubulin alpha chain,QM012_002859,450
A0ABR0TBH1,Serine/threonine-protein kinase MEC1,QM012_002283,2454
A0ABR0TC64,Protein CASP,QM012_002515,732
A0ABR0TDH2,Integral membrane protein,QM012_001975,271
A0ABR0TDK2,DUF1751-domain-containing protein,QM012_002005,344
A0ABR0TDR3,Eisosome protein 1,QM012_001925,1084
A0ABR0TE09,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_001312,695
A0ABR0TE57,Ankyrin repeat protein-like protein,QM012_001453,175
A0ABR0TEE9,Trm112p-domain-containing protein,QM012_001541,132
A0ABR0TEH0,Vacuolar import and degradation protein-domain-containing protein,QM012_001477,482
A0ABR0TEI1,C2H2-type domain-containing protein,QM012_001578,1181
A0ABR0TFD2,Hypervirulence associated protein TUDOR domain-containing protein,QM012_001396,308
A0ABR0TFM5,T-complex protein 1 subunit epsilon,QM012_001087,548
A0ABR0TFX7,Uncharacterized protein,QM012_001183,373
A0ABR0TG51,Ribosome assembly protein 4,QM012_001650,516
A0ABR0TG83,Protein artemis,QM012_001202,628
A0ABR0TG95,SWI/SNF family DNA-dependent ATPase Ris1,QM012_000790,1265
A0ABR0TGA7,Structure-specific endonuclease subunit SLX4,QM012_009252,1007
A0ABR0TGC0,beta-galactosidase,QM012_009267,727
A0ABR0TGI2,VPS9 domain-containing protein,QM012_009296,740
A0ABR0TGK4,ABC transporter domain-containing protein,QM012_000881,1579
A0ABR0TGP6,histone deacetylase,QM012_009375,674
A0ABR0THL1,Methyltransferase domain-containing protein,QM012_008781,277
A0ABR0THX9,Profilin,QM012_009287,130
A0ABR0TIA6,Uncharacterized protein,QM012_009036,133
A0ABR0TII3,Sugar phosphate transporter domain-containing protein,QM012_008802,545
A0ABR0TIW5,MADS-box domain-containing protein,QM012_008696,580
A0ABR0TJA0,alpha-amylase,QM012_008831,491
A0ABR0TJS4,Uncharacterized protein,QM012_008576,271
A0ABR0TJY3,Rhodopsin,QM012_008589,107
A0ABR0TJY5,Uncharacterized protein,QM012_009090,276
A0ABR0TK18,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_008663,554
A0ABR0TK51,Transcription factor domain-containing protein,QM012_008646,373
A0ABR0TK80,FAD-binding domain-containing protein,QM012_007593,458
A0ABR0TK97,Uncharacterized protein,QM012_008629,282
A0ABR0TKT5,Cyanide hydratase,QM012_008353,364
A0ABR0TKU5,Nucleoporin-domain-containing protein,QM012_007850,1320
A0ABR0TKZ8,Amidoligase enzyme,QM012_007863,466
A0ABR0TL24,Uncharacterized protein,QM012_007917,998
A0ABR0TL74,Glutamine amidotransferase type-2 domain-containing protein,QM012_008503,396
A0ABR0TLE7,Uncharacterized protein,QM012_007951,204
A0ABR0TLG6,Glycosyltransferase family 25 protein,QM012_008627,432
A0ABR0TMB7,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_007209,540
A0ABR0TMK8,"N-acetylgalactosaminide beta-1,3-galactosyltransferase",QM012_007934,472
A0ABR0TMS9,Methyltransferase small domain-containing protein,QM012_007391,248
A0ABR0TN53,Tr-type G domain-containing protein,QM012_007479,853
A0ABR0TNW0,PLP-dependent transferase,QM012_007398,487
A0ABR0TNX8,Carboxylic ester hydrolase,QM012_007227,564
A0ABR0TP62,BAG domain-containing protein,QM012_006639,285
A0ABR0TP65,Uncharacterized protein,QM012_006633,352
A0ABR0TPB7,Magnesium transporter,QM012_006693,141
A0ABR0TPD2,Methyltransferase type 11 domain-containing protein,QM012_006617,356
A0ABR0TQ14,Uncharacterized protein,QM012_006935,265
A0ABR0TQV8,Uncharacterized protein,QM012_005848,592
A0ABR0TQX8,Uncharacterized protein,QM012_005837,595
A0ABR0TR00,Diaminopimelate epimerase-like protein,QM012_005864,303
A0ABR0TRJ8,NAD(P)-binding protein,QM012_005950,351
A0ABR0TRK7,Arrestin-like N-terminal domain-containing protein,QM012_006910,441
A0ABR0TS11,UBX domain-containing protein,QM012_005900,521
A0ABR0TS18,Zn(2)-C6 fungal-type domain-containing protein,QM012_005949,512
A0ABR0TS32,P-loop containing nucleoside triphosphate hydrolase protein,QM012_006257,357
A0ABR0TS99,DUF7730 domain-containing protein,QM012_005748,384
A0ABR0TSB4,beta-glucosidase,QM012_005779,778
A0ABR0TSF5,CENP-V/GFA domain-containing protein,QM012_006345,139
A0ABR0TT43,Xaa-Pro aminopeptidase,QM012_006260,522
A0ABR0TT75,DASH complex subunit DAD3,QM012_004326,89
A0ABR0TTB1,DUF3074 domain-containing protein,QM012_006123,610
A0ABR0TTD9,AP-1 complex subunit sigma-1,QM012_004555,573
A0ABR0TTW0,CS domain-containing protein,QM012_004336,241
A0ABR0TTZ6,Cytochrome P450,QM012_004748,512
A0ABR0TU32,4a-hydroxytetrahydrobiopterin dehydratase,QM012_004810,137
A0ABR0TUK2,Uncharacterized protein,QM012_004806,167
A0ABR0TUW4,ATP-dependent RNA helicase,QM012_000080,793
A0ABR0TV18,C3H1-type domain-containing protein,QM012_000198,359
A0ABR0TV47,Peptidase M20 dimerisation domain-containing protein,QM012_000271,428
A0ABR0TVJ3,Uncharacterized protein,QM012_000397,270
A0ABR0TVM8,Apple domain-containing protein,QM012_000411,403
A0ABR0TW33,RRM domain-containing protein,QM012_000420,820
A0ABR0TWC4,Cap binding protein,QM012_000663,952
A0ABR0TWD4,phosphoserine phosphatase,QM012_000611,386
A0ABR0T4T6,Uncharacterized protein,QM012_005446,84
A0ABR0T536,DUF726-domain-containing protein,QM012_005235,1092
A0ABR0T5D2,P-loop containing nucleoside triphosphate hydrolase protein,QM012_005315,1801
A0ABR0T6Y6,ADP-ribosylation factor GTPase-activating protein,QM012_003843,1131
A0ABR0T7J3,Amino acid transporter transmembrane domain-containing protein,QM012_004989,468
A0ABR0T8C0,Uncharacterized protein,QM012_003408,669
A0ABR0T8G5,HECT-type E3 ubiquitin transferase,QM012_003458,1216
A0ABR0T8I5,Uncharacterized protein,QM012_003473,708
A0ABR0T8X5,"Phosphatidate cytidylyltransferase, mitochondrial",QM012_003424,535
A0ABR0T924,Cytochrome b5 heme-binding domain-containing protein,QM012_003469,135
A0ABR0T963,Gamma interferon inducible lysosomal thiol reductase,QM012_003059,294
A0ABR0T9H4,SHSP domain-containing protein,QM012_003117,164
A0ABR0T9K3,Pyrimidine-specific carbamoyl phosphate synthase-aspartate carbamoyl transferase,QM012_003186,1832
A0ABR0T9S7,ATP-dependent DNA helicase CHL1,QM012_003500,823
A0ABR0T9U3,Protein CFT1,QM012_003286,1401
A0ABR0TAI6,Reverse transcriptase domain-containing protein,QM012_002790,884
A0ABR0TAJ7,Septin-type G domain-containing protein,QM012_002788,379
A0ABR0TAK1,Adenine deaminase,AAH1,358
A0ABR0TAW1,Glycoside hydrolase,QM012_003249,571
A0ABR0TB02,Zn(2)-C6 fungal-type domain-containing protein,QM012_003199,1052
A0ABR0TB73,beta-glucosidase,QM012_002183,651
A0ABR0TB90,Synaptobrevin homolog YKT6,QM012_002204,197
A0ABR0TBB0,S-adenosyl-L-methionine-dependent methyltransferase,QM012_002601,274
A0ABR0TBH4,Glycosyltransferase 2-like domain-containing protein,QM012_002808,500
A0ABR0TBH5,Uncharacterized protein,QM012_002597,1779
A0ABR0TBR1,Prephenate dehydrogenase [NADP(+)],QM012_002373,438
A0ABR0TBU0,Transcription factor domain-containing protein,QM012_002364,495
A0ABR0TBX2,"ClpX, ATPase regulatory subunit",QM012_002842,593
A0ABR0TCB9,RNI-like protein,QM012_001726,961
A0ABR0TCI3,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_002131,545
A0ABR0TCM4,Uncharacterized protein,QM012_002387,596
A0ABR0TCT0,Mediator of RNA polymerase II transcription subunit 21,QM012_001896,174
A0ABR0TDB5,Biogenesis of lysosome-related organelles complex 1 subunit 1,QM012_001882,113
A0ABR0TDE5,Sde2 N-terminal ubiquitin domain-containing protein,QM012_002106,297
A0ABR0TEB0,Actin-like ATPase domain-containing protein,QM012_001432,371
A0ABR0TEP3,Geranylgeranyl transferase type-2 subunit beta,QM012_001644,339
A0ABR0TF35,Copper-fist domain-containing protein,QM012_000893,557
A0ABR0TFH1,Extracellular serine-rich protein,QM012_001023,332
A0ABR0TFL0,Mucin-7,QM012_001072,542
A0ABR0TFU7,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_001161,535
A0ABR0TFY4,Uncharacterized protein,QM012_001206,106
A0ABR0TGM1,Histidine kinase HHK15p,QM012_009341,1215
A0ABR0TGP9,Actin-related protein 8,QM012_009200,711
A0ABR0TIE3,CNH domain-containing protein,QM012_008757,1653
A0ABR0TIL0,CCHC-type domain-containing protein,QM012_009082,183
A0ABR0TIN9,Mediator of RNA polymerase II transcription subunit 1,QM012_008685,716
A0ABR0TJ28,Checkpoint protein,QM012_009104,365
A0ABR0TJA3,Amine oxidase,QM012_008349,674
A0ABR0TJJ9,DUF7082 domain-containing protein,QM012_008374,754
A0ABR0TJT7,Beta-xylanase,QM012_008464,428
A0ABR0TJW6,Uncharacterized protein,QM012_008294,567
A0ABR0TJZ7,NAD-dependent protein deacetylase,QM012_008645,395
A0ABR0TK31,Xylosidase,QM012_008634,322
A0ABR0TKM1,Uncharacterized protein,QM012_007775,87
A0ABR0TLH8,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_008074,578
A0ABR0TLV9,Phospholipase D/nuclease,QM012_007679,576
A0ABR0TLW1,Gpi1-domain-containing protein,QM012_007075,629
A0ABR0TMH0,Transmembrane protein 135 N-terminal domain-containing protein,QM012_007285,540
A0ABR0TMV1,Uncharacterized protein,QM012_007403,113
A0ABR0TN48,NADH-ubiquinone oxidoreductase 9.5 kDa subunit,QM012_007173,75
A0ABR0TNG2,Sulfatase N-terminal domain-containing protein,QM012_006398,638
A0ABR0TNI9,Apple domain-containing protein,QM012_006408,368
A0ABR0TNL4,Conserved oligomeric Golgi complex subunit 5,QM012_007323,451
A0ABR0TP66,MICOS complex subunit MIC10,QM012_006649,99
A0ABR0TP89,DUF221-domain-containing protein,QM012_006663,872
A0ABR0TPC5,uracil phosphoribosyltransferase,QM012_006699,229
A0ABR0TPI1,DUF1989 domain-containing protein,QM012_006748,666
A0ABR0TPP3,Glycine zipper 2TM domain-containing protein,QM012_006801,204
A0ABR0TPR0,Leucine rich repeat protein,QM012_006496,692
A0ABR0TQ22,MFS general substrate transporter,QM012_006450,598
A0ABR0TR22,Zinc finger C2H2 LYAR-type domain-containing protein,QM012_005907,303
A0ABR0TR81,Phosphoglycerate mutase-like protein,QM012_006855,258
A0ABR0TRF9,Integral membrane protein,QM012_006036,199
A0ABR0TRX1,Phosphotransferase,QM012_005693,491
A0ABR0TSA6,DUF1941-domain-containing protein,QM012_006346,607
A0ABR0TSS9,Ubiquitin-like domain-containing protein,QM012_004307,229
A0ABR0TSX6,Uncharacterized protein,QM012_004352,708
A0ABR0TT72,Phospholipase D/nuclease,QM012_006078,595
A0ABR0TTG5,RGS domain-containing protein,QM012_004431,450
A0ABR0TTR1,non-specific serine/threonine protein kinase,QM012_004355,978
A0ABR0TTR8,Calcineurin subunit B,QM012_006259,174
A0ABR0TTT1,Smr domain-containing protein,QM012_004677,262
A0ABR0TTU4,Uncharacterized protein,QM012_004321,694
A0ABR0TTX1,C2H2-type domain-containing protein,QM012_004738,714
A0ABR0TU55,Anp1-domain-containing protein,QM012_004808,522
A0ABR0TU64,Oxidase ustYa,QM012_004578,276
A0ABR0TUD8,"Fructose-1,6-bisphosphatase",QM012_004274,351
A0ABR0TUI5,endo-polygalacturonase,QM012_000061,369
A0ABR0TUN3,DNA replication licensing factor MCM6,QM012_004836,949
A0ABR0TV24,isopentenyl-diphosphate Delta-isomerase,QM012_004835,266
A0ABR0TW20,Adenylyltransferase and sulfurtransferase uba4,uba4,490
A0ABR0TW63,Amino acid transporter,QM012_000039,526
A0ABR0TWB8,proteasome endopeptidase complex,QM012_000636,276
A0ABR0TWI3,HRQ family protein,QM012_000711,501
A0ABR0TWM4,SMP-LTD domain-containing protein,QM012_000385,1022
A0ABR0TWQ5,HAD-superfamily hydrolase,QM012_000415,399
A0ABR0TWS8,"Arginine biosynthesis bifunctional protein ArgJ, mitochondrial",QM012_000279,512
A0ABR0TX04,Cercosporin MFS transporter CTB4,QM012_000765,554
A0ABR0TXK1,Uncharacterized protein,QM012_000624,88
A0ABR0TXN2,Uncharacterized protein,QM012_000593,45
A0A4T0CKX7,RNA helicase,QM012_008266,400
A0ABR0T4Y7,Uncharacterized protein,QM012_005386,356
A0ABR0T5Z1,AB hydrolase-1 domain-containing protein,QM012_004941,393
A0ABR0T636,Glutaminase,QM012_004986,803
A0ABR0T6B3,Protein phosphatase methylesterase 1,QM012_005232,386
A0ABR0T7B5,D-serine dehydratase-like domain-containing protein,QM012_003981,447
A0ABR0T7D4,DNA mismatch repair protein,QM012_005008,1181
A0ABR0T7G6,Septin-type G domain-containing protein,QM012_004959,501
A0ABR0T7H2,Ecp2 effector protein domain-containing protein,QM012_003634,139
A0ABR0T7I1,F-box domain-containing protein,QM012_003654,189
A0ABR0T7S2,Transcription factor domain-containing protein,QM012_005064,869
A0ABR0T8F1,RRM domain-containing protein,QM012_003443,572
A0ABR0T8N5,Mannosyltransferase,QM012_003334,636
A0ABR0T9E9,Glycoside hydrolase/deacetylase,QM012_003025,575
A0ABR0TA25,Cercosporin MFS transporter CTB4,QM012_002622,598
A0ABR0TAI4,Uncharacterized protein,QM012_003063,169
A0ABR0TB61,WD40 repeat-like protein,QM012_002688,398
A0ABR0TBR4,Dipeptidase,QM012_002179,416
A0ABR0TBT6,Cyclin-like protein,QM012_002257,439
A0ABR0TC08,separase,QM012_002792,2029
A0ABR0TC85,SHSP domain-containing protein,QM012_001694,248
A0ABR0TCK3,ferroxidase,QM012_001814,196
A0ABR0TCR8,Structural maintenance of chromosomes protein,QM012_002221,1412
A0ABR0TD42,Ribosome biogenesis regulatory protein,QM012_001977,205
A0ABR0TDD1,Apple domain-containing protein,QM012_002465,577
A0ABR0TDS8,2-epi-5-epi-valiolone synthase-like protein,QM012_001338,474
A0ABR0TE45,Glucose-6-phosphate 1-dehydrogenase,QM012_001264,512
A0ABR0TEA4,Rheb small monomeric GTPase RhbA,QM012_001247,187
A0ABR0TEA9,WSC domain-containing protein,QM012_001503,506
A0ABR0TEH9,2-(3-amino-3-carboxypropyl)histidine synthase subunit 1,QM012_002033,450
A0ABR0TEJ1,ABC transporter,QM012_001584,1292
A0ABR0TEN6,GTP cyclohydrolase II,QM012_001251,544
A0ABR0TEV9,Uncharacterized protein,QM012_000800,703
A0ABR0TF93,Mitochondrial distribution and morphology protein 10,MDM10,412
A0ABR0TFL3,DUF8004 domain-containing protein,QM012_001070,572
A0ABR0TFX2,Uncharacterized protein,QM012_000867,1062
A0ABR0TGB6,Zn(2)-C6 fungal-type domain-containing protein,QM012_009253,1011
A0ABR0TGJ4,DUF1688-domain-containing protein,QM012_009334,421
A0ABR0THA3,"ATP synthase subunit 9, mitochondrial",QM012_009580,139
A0ABR0THZ7,Transcription elongation factor,QM012_008887,300
A0ABR0TI17,Proteasome assembly chaperone 3,QM012_008837,152
A0ABR0TIH7,MFS general substrate transporter,QM012_008731,550
A0ABR0TIJ3,Mak10-domain-containing protein,QM012_009067,762
A0ABR0TIJ9,"glucan 1,3-beta-glucosidase",QM012_009114,538
A0ABR0TIK2,Myb-like domain-containing protein,QM012_009110,380
A0ABR0TIV2,Ribonuclease,QM012_009107,345
A0ABR0TIW3,Uncharacterized protein,QM012_008196,87
A0ABR0TIW6,Cystathionine beta-synthase,QM012_008937,163
A0ABR0TJ01,AMP-dependent synthetase/ligase domain-containing protein,QM012_008290,559
A0ABR0TJ32,Kinesin-like protein,QM012_008315,590
A0ABR0TJ65,Multiple myeloma tumor-associated protein 2-like N-terminal domain-containing protein,QM012_009027,219
A0ABR0TK05,Ras small monomeric GTPase-like protein RasB,QM012_008601,232
A0ABR0TK24,Transcription factor domain-containing protein,QM012_008554,294
A0ABR0TK52,DNA topoisomerase (ATP-hydrolyzing),QM012_008491,398
A0ABR0TKF6,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_007668,536
A0ABR0TKK9,Tyrosine specific protein phosphatases domain-containing protein,QM012_008549,843
A0ABR0TKM8,Glutamine amidotransferase domain-containing protein,QM012_007787,397
A0ABR0TKM9,DUF4211 domain-containing protein,QM012_007743,684
A0ABR0TL86,4Fe-4S ferredoxin-type domain-containing protein,QM012_007971,226
A0ABR0TLR1,COP9 signalosome complex subunit 5,QM012_007634,349
A0ABR0TLW7,BZIP domain-containing protein,QM012_007091,429
A0ABR0TLX6,Proteasome subunit beta,QM012_007694,230
A0ABR0TLY2,TATA element modulatory factor 1 TATA binding domain-containing protein,QM012_007946,891
A0ABR0TMB2,Rhodopsin domain-containing protein,QM012_007225,878
A0ABR0TN47,UBZ4-type domain-containing protein,QM012_007306,173
A0ABR0TNH7,Mediator of RNA polymerase II transcription subunit 17,MED17,619
A0ABR0TNQ2,Uncharacterized protein,QM012_006488,413
A0ABR0TNY6,Tetratricopeptide repeat and J domain-containing co-chaperone DNJ1,QM012_007292,528
A0ABR0TP22,PDZ GRASP-type domain-containing protein,QM012_007473,347
A0ABR0TPM9,Replication protein A OB domain-containing protein,QM012_006466,376
A0ABR0TPN3,Arrestin C-terminal-like domain-containing protein,QM012_006629,865
A0ABR0TQ30,Xylanolytic transcriptional activator regulatory domain-containing protein,QM012_006950,338
A0ABR0TQ50,SET domain-containing protein,QM012_006809,509
A0ABR0TQC6,Glycosyltransferase family 2 protein,QM012_006555,1407
A0ABR0TQK2,Autophagy-related protein 16 domain-containing protein,QM012_005728,324
A0ABR0TQP5,Mitochondrial outer membrane protein (Sam35),QM012_006595,292
A0ABR0TQS7,Sugar phosphate transporter domain-containing protein,QM012_005821,534
A0ABR0TR56,Uncharacterized protein,QM012_005931,467
A0ABR0TRW6,Phosphoglycerate mutase-like protein,QM012_006007,256
A0ABR0TS95,Cupin type-2 domain-containing protein,QM012_006343,183
A0ABR0TSQ7,EF-hand domain-containing protein,QM012_004288,277
A0ABR0TSS0,Major facilitator superfamily (MFS) profile domain-containing protein,QM012_004286,545
A0ABR0TST1,Serine/threonine-protein kinase RIO2,QM012_004318,455
A0ABR0TST8,Uncharacterized protein,QM012_005993,244
A0ABR0TSW6,Beta-xylanase,QM012_005973,401
A0ABR0TSW8,"ATP synthase subunit K, mitochondrial",QM012_004372,72
A0ABR0TSY4,Uncharacterized protein,QM012_006038,57
A0ABR0TT37,Uncharacterized protein,QM012_006083,688
A0ABR0TTS7,S-adenosyl-L-methionine-dependent methyltransferase,QM012_004306,338
A0ABR0TU22,Xaa-Pro aminopeptidase,QM012_004626,464
A0ABR0TU44,Nucleotide-diphospho-sugar transferase,QM012_004837,819
A0ABR0TU63,L domain-like protein,QM012_004812,1003
A0ABR0TU96,DNA polymerase delta subunit 3,QM012_004842,446
A0ABR0TUC6,Actin interacting protein 3 C-terminal domain-containing protein,QM012_004638,1077
A0ABR0TUQ1,Glucosamine 6-phosphate N-acetyltransferase,QM012_004410,175
A0ABR0TUS5,Uncharacterized protein,QM012_000111,410
A0ABR0TV82,Uncharacterized protein,QM012_004895,834
A0ABR0TVE7,Importin N-terminal domain-containing protein,QM012_000347,1085
A0ABR0TWP0,Uncharacterized protein,QM012_000400,628
