UniProt_accession,AlphaFold_model,pLDDT
Q09870,True,95.12
E9P974,True,93.25
O13920,True,70.88
I1RAY1,True,80.81
Q12436,True,74.19
P87305,True,94.25
Q5ZMJ9,True,51.91
Q9FGJ3,True,74.25
O74347,True,89.69
Q9C0U7,True,69.25
B6HN82,True,86.0
Q48806,True,90.88
Q00258,True,92.81
Q92412,True,87.31
D7UTD0,True,93.44
P21976,True,86.25
O65709,True,92.62
B2FQ90,True,98.38
Q2YDE3,True,88.19
Q5B5P1,True,85.12
P19115,True,90.81
G2XER1,True,54.78
Q1DQZ5,True,79.5
Q6B516,True,69.31
Q9N3Q8,True,89.56
Q8GXX0,True,78.06
Q96TU3,True,95.5
P42039,True,71.06
O13453,True,74.31
A0A8F4SN83,True,91.69
A0A1D8PPG4,True,83.94
B0XQS8,True,87.12
Q08980,True,83.81
D4ANG0,True,89.69
Q09923,True,95.94
Q8LAD0,True,86.38
A7F3V4,True,72.94
Q4U3Y2,True,87.56
Q9P7B5,True,75.0
A5DHM6,True,93.38
O60200,True,89.62
G0S2K4,True,68.06
F9XMW5,True,72.44
Q9Y874,True,85.44
Q9BVI0,True,54.47
O60103,True,72.0
A7B3K3,True,96.56
A0A0R4J5R0,True,92.12
G2X352,True,61.44
Q92544,True,85.56
Q03516,True,80.69
A0A2I2F271,True,85.25
I1RD82,True,79.12
Q8ISP0,True,89.62
A0A8J9R8G6,True,88.88
B0Y691,True,85.12
Q39085,True,91.75
M2R8W9,True,85.31
Q09764,True,78.88
A0A172QE52,True,85.56
P17573,True,92.75
A0A166YZY4,True,87.75
Q75GS4,True,94.5
Q9H5Z1,True,86.62
Q9HGM6,True,81.94
Q9USN1,True,67.56
D4B5D4,True,67.69
Q9P376,True,75.88
M4VQY9,True,92.62
B0XZU9,True,94.0
Q09856,True,76.88
P48466,True,96.06
O13713,True,68.75
Q7SA04,True,67.38
Q7Z9J4,True,81.19
Q9XIG1,True,74.94
Q00177,True,94.94
Q9SMR2,True,79.19
A0A1U8QG99,True,83.5
Q12322,True,84.62
P38838,True,76.06
Q92RP0,True,96.5
Q8GY96,True,93.0
P25451,True,96.94
P56329,True,67.12
A0ABQ8WBK9,False,
Q4WGL2,True,62.09
Q1E2D2,True,72.38
P07278,True,78.12
Q4X0I7,True,84.44
B0R858,True,94.5
Q8X082,True,91.06
Q9C0W1,True,93.81
Q7RWZ7,True,91.75
Q8N9N2,True,65.44
Q9P4Z1,False,
O14113,True,74.75
Q90678,True,86.75
P87173,True,91.38
P0CX39,True,92.56
P9WEL4,True,93.62
A0A2H0ZCS5,True,84.94
P08540,True,88.25
D4B5N6,True,83.38
G2XAE9,True,60.38
P22944,True,86.5
G2X002,True,86.0
Q4V835,True,65.12
A6SIJ6,True,74.62
Q54PQ4,True,83.25
P40100,True,79.12
N4WEA4,True,92.0
Q6BUX2,True,95.0
Q8IWT3,True,67.06
Q8VE37,True,93.88
P25375,True,92.38
P53173,True,93.81
Q9USQ7,True,83.44
Q0CPF9,True,74.81
E9DW54,True,58.56
B3LPW3,True,63.16
G0SCU5,True,93.0
P40579,True,96.62
Q5AYI6,True,93.56
O14057,True,87.31
O43050,True,94.19
G2Q0E2,True,69.88
Q4WP81,True,75.81
O42615,True,88.31
G1XJZ0,True,92.69
Q5B7U0,True,93.69
P39453,True,81.19
A6QPH8,True,90.5
P55251,True,89.5
H1VN83,True,93.19
Q9HE11,True,75.19
P15937,True,96.44
V5ILS6,True,65.31
B0XUR7,True,74.0
O42978,True,93.62
Q5A599,True,76.75
Q0V5W8,True,90.06
Q9VGP1,True,67.25
P53252,True,80.69
B8NKA3,True,94.75
P52291,True,91.06
Q6GNT9,True,97.62
O74853,True,71.81
Q9P326,True,75.56
Q09749,True,89.06
O14088,True,97.19
Q03829,True,73.5
Q0CHV5,True,62.47
G0S156,True,67.81
C5CZC3,True,95.94
Q7RXU7,True,85.44
M2YMU7,True,94.0
G2XF54,True,46.84
P40106,True,97.69
Q9CPY6,True,84.94
B8NL22,True,84.69
Q8X092,True,90.12
Q2UMM4,True,91.19
Q0UPV4,True,91.06
Q0QWS4,True,96.38
A0A0F6NRE2,True,92.69
Q8GWR2,True,93.81
Q96WY0,True,79.62
P45444,False,
P0CQ67,True,63.28
Q54CU7,True,89.5
O14224,True,83.94
Q4X162,True,86.69
P38164,True,76.31
A3KP37,True,89.81
Q09875,True,90.12
O14130,True,73.06
O34788,True,96.94
Q7RYW8,True,76.69
Q2UA85,True,77.56
C5GVC6,True,83.19
O94235,True,59.84
Q0C7E6,True,86.12
O43100,True,84.88
Q7S302,True,91.06
Q9UTA8,True,92.12
Q4WDL3,True,90.0
P40386,True,93.5
Q6AXT8,True,65.06
Q0CLX3,True,65.25
Q06328,True,78.0
O60150,True,88.19
Q54P77,True,90.31
Q8NKC1,True,91.75
A0A144Y7G4,True,96.06
Q5AUT0,True,76.12
E9F689,True,96.88
P38902,True,95.44
Q4WT65,True,82.62
P07272,True,68.38
Q2UPA8,True,72.19
J5JLF2,False,
M2SNN6,True,95.38
Q5FVP5,True,87.69
Q00455,True,88.19
Q7S6W5,True,90.62
Q10161,True,77.81
P0DTN6,True,86.25
Q9HFR7,True,91.06
A0A336U966,True,92.38
P23724,True,94.62
Q05031,True,93.12
O60116,True,94.38
A2RAL4,True,96.81
O67071,True,96.88
P50537,True,89.5
Q5AUW9,True,95.44
Q8NIG3,True,88.5
Q9XTI0,True,97.12
O94606,True,82.38
Q07842,True,91.69
P54950,True,94.25
Q9USP1,True,78.31
Q2GZQ4,True,70.94
Q4WV44,True,88.62
Q9Y7N0,True,70.62
Q7SI16,True,85.44
Q9ZVL3,True,75.12
Q12425,True,76.56
Q4IPB8,True,95.75
Q9ZU50,True,90.62
Q9UTQ7,True,76.56
O62761,True,92.38
O88767,True,98.25
B6H059,True,78.38
G0S196,True,74.62
P47813,True,77.94
A0A499UB99,True,96.56
Q7S9P4,True,86.25
Q9C701,True,95.81
O74999,True,77.94
B0XZV0,True,90.88
Q2TXF1,True,93.62
O59682,True,91.75
P11113,True,79.88
Q9SN58,True,95.0
O69787,True,97.75
Q2PGG3,True,95.5
Q6C7S6,True,97.0
Q06098,True,79.06
Q7S5M7,True,94.62
Q6C9W0,True,91.88
Q6DGZ0,True,86.5
D6N7U5,True,87.56
P21657,True,66.31
Q754R5,True,73.5
D4B327,True,75.0
Q3JES6,True,91.94
G0S5Q0,True,74.62
P54267,True,76.75
P48008,True,84.81
O34714,True,96.38
Q7SG97,True,78.5
P23231,True,80.88
Q9ST27,True,73.69
P78980,True,84.69
A1CFL2,True,93.81
O94394,True,88.31
E3RD74,True,84.19
Q7S5N0,True,79.25
P32637,True,97.88
D4AUX6,True,79.12
P53147,True,60.38
Q5B428,True,86.31
Q4KLB0,True,89.0
K9FWK0,True,53.69
Q9HDY7,True,58.84
P18696,True,87.12
O60017,True,93.94
S8B3I4,True,88.88
E0CYR6,True,91.88
A6RRW0,True,88.0
Q9Y794,True,56.5
I1RV22,True,87.56
D0U690,True,83.5
A0A1L7TV54,True,81.0
P34211,True,87.88
A7LXU0,True,94.62
O14352,True,81.81
P25637,True,86.38
O00102,True,94.31
G3YFS7,True,89.75
C8VSE7,True,68.12
Q9P6Q3,True,80.81
A5H0J3,True,95.56
A7EM88,True,89.06
A0A1L9WLE2,True,91.19
W7MVT8,True,72.0
Q871K1,True,94.19
O43029,True,94.38
P17505,True,94.0
P38972,True,93.62
P46852,True,97.81
O59674,True,85.44
C7GQJ1,True,84.0
Q92250,True,95.88
Q8J0F0,True,94.5
G9N4A3,True,88.44
P78920,True,78.44
Q2KJG8,True,83.19
Q12184,True,78.62
O42953,True,75.31
Q03322,True,73.06
A6RPX6,True,85.88
O74225,True,93.81
O14172,True,90.12
O94343,True,82.44
Q10423,True,90.94
Q06511,True,68.69
Q01513,True,63.28
Q10494,True,95.5
G8BHG4,True,96.38
A7HU16,True,96.38
J4W1I9,False,
Q5AK94,True,87.12
D7PI12,True,66.69
P06134,True,81.81
P35845,True,73.25
C9K7C2,True,67.25
P80547,True,92.5
O60177,True,65.0
A0A0J9UVG7,True,88.5
P9WNH2,True,88.56
O14156,True,84.0
Q9XVQ9,True,92.62
Q08924,True,93.44
Q5BGA9,True,72.19
G2TRT0,True,74.19
P50136,True,92.0
O59780,True,59.47
P34227,True,88.44
P24719,True,76.88
A7EZS5,True,95.88
Q08971,True,88.0
Q00748,True,84.69
Q1K5G1,True,88.25
I1RV17,True,95.88
Q00858,True,63.78
O94321,True,66.75
Q9US44,True,84.62
Q9HF51,True,83.81
A0A179HKZ8,True,77.5
Q3E793,True,88.12
Q0CJ61,True,79.12
Q6FRT5,True,81.38
O94389,True,79.81
Q5BCG1,True,91.94
O31020,True,97.69
Q0UPX4,True,58.38
P0C955,True,87.44
A0A1U8QVI3,True,65.19
B6HV32,True,82.56
P0DN31,True,83.44
P26990,True,93.88
Q9SKC9,True,88.12
G0SFH5,True,82.56
P44094,True,96.06
O14111,True,71.81
P28349,True,65.38
Q66WM4,True,95.5
P48503,True,85.62
O14109,True,82.56
P48508,True,91.5
B9WYE6,True,96.19
P36601,True,87.12
P53395,True,79.75
A4D9J5,True,83.0
A7SVT1,True,82.62
Q09330,True,72.06
Q9C0V1,True,89.5
P38068,True,81.94
G9N4A8,True,91.81
Q10298,True,94.0
G0S4X2,True,61.84
P40996,True,69.56
Q6DDF4,True,84.31
O42786,True,91.38
Q9DBM1,True,58.59
Q92357,True,62.5
Q9UUA6,True,92.94
P38166,True,69.0
A0A1L7VET2,True,72.19
Q06706,True,87.38
A6QR31,True,79.06
Q9P7V3,True,88.75
Q9Y8A7,True,91.69
P47125,True,86.69
Q755T8,True,90.88
Q05424,True,93.06
A1CLD2,True,89.5
Q8NK92,True,87.38
Q700S9,True,95.5
G0RY74,True,83.75
P38148,True,79.06
Q10451,True,73.5
P40984,True,96.88
Q4WCX9,True,82.81
Q4WJ81,True,49.12
C7C435,True,92.94
Q2H085,True,80.19
Q20296,True,87.88
O94247,True,87.5
C8VC05,True,70.25
Q0UTF0,True,62.31
Q9UT76,True,84.44
P50526,True,62.69
P94063,True,91.94
Q1K8C8,True,89.94
Q05549,True,80.62
Q5AD51,True,95.94
Q9HFS2,True,54.12
Q9Y7Q6,True,85.5
Q5B0C0,True,87.69
Q0USZ4,True,84.19
Q2U6T7,True,77.31
Q0UTI3,True,82.69
Q06816,True,89.69
Q5FJB5,True,95.56
Q09733,True,62.03
O60188,True,75.94
G2TRS3,True,71.94
Q09808,True,60.06
P42837,True,75.44
Q0U2G5,True,89.44
O59941,True,83.0
Q4J6J6,True,98.0
A0A089FNE5,True,86.06
O94445,True,85.19
Q9JKB1,True,97.31
W8QRE4,True,97.44
Q6Q885,True,92.44
Q3TCH7,True,88.88
B8NU03,True,82.88
Q5A687,True,87.56
Q4WYA5,True,90.06
Q12737,True,94.69
B5ZA76,True,97.12
P27765,True,97.38
Q9H6B9,True,94.38
A1DDY6,True,60.28
Q08902,True,89.06
Q7RW48,True,88.88
Q9Y783,True,88.81
O08699,True,96.06
Q7S4H6,True,82.25
Q09813,True,68.0
Q7SAK9,True,76.81
Q1DK38,True,82.5
P43548,True,81.88
Q17389,True,87.38
A0A1V1FNZ5,True,91.69
Q6FWS5,True,79.0
P40445,True,86.31
P51691,True,98.12
Q7SB95,True,93.0
G2XEY9,True,48.59
P54069,True,93.69
Q10151,True,77.19
I1S130,True,95.06
O94703,True,86.25
Q4W9M3,True,89.69
O13833,True,86.75
Q8TFU8,True,60.47
Q5AHG6,True,67.19
O74553,True,96.31
Q05648,True,72.56
P52553,True,92.62
Q12558,True,93.56
A0A1L9X986,True,60.16
Q09785,True,92.75
O60039,True,75.25
Q75A82,True,82.88
D4AS70,True,92.44
O74861,True,76.31
O94616,True,92.38
K0E3U9,True,87.38
Q0UUE2,True,85.81
Q4WY31,True,74.25
A6RRF7,True,87.62
Q9UUN3,True,81.81
Q9P804,True,85.94
O58584,True,97.5
Q00359,True,90.62
Q9XZ25,True,72.62
O14188,True,72.19
A0A384K116,True,81.5
T2FKR1,True,93.75
P35844,True,91.81
Q4WEY4,True,92.62
G3XMB9,True,93.31
Q8K2L8,True,63.34
Q9XWZ2,True,93.94
Q86CZ2,True,55.72
P39106,True,87.81
Q9P7B7,True,76.44
G2XDI2,True,93.12
Q12731,True,78.62
V5IQE0,True,75.25
Q1GTB8,True,97.44
A0A1U8QTA2,True,94.25
A2QEQ6,True,92.12
Q4WK40,True,65.75
Q4WWN2,True,66.06
A0A1D8PGY0,True,95.5
Q54WM0,True,82.56
Q7RXP5,True,91.69
P16543,True,95.75
Q12289,True,84.12
G1X456,True,73.06
Q12570,True,91.38
B0Y1V8,True,90.56
Q12160,True,60.5
A0A455R7E6,True,85.62
A0A0A2JW93,True,81.31
Q7SEW2,True,78.0
Q12232,True,68.12
P32644,True,72.94
Q9UT49,True,72.06
O74469,True,83.25
Q9M9G6,True,61.91
Q50HP3,True,89.25
Q9UTM2,True,72.38
Q02972,True,96.06
Q9P4W7,True,81.31
V5IRD7,True,82.5
F4HX15,True,71.62
P0CI40,True,76.88
O93883,True,93.44
Q12740,True,91.88
Q55EF8,True,81.38
O13657,True,59.62
K7LC65,True,74.94
O59785,True,67.0
B6D9A7,True,88.88
P22194,True,92.12
P53705,True,48.5
Q02908,True,90.38
A0A2P1DP75,True,91.25
Q09177,True,87.06
P32573,True,93.88
Q1E9C0,True,68.38
Q09142,True,66.19
B2VVA8,True,91.88
P22315,True,86.69
Q9WZ31,True,92.06
Q05958,True,56.81
G8BHG6,True,96.62
Q5NA18,True,78.94
O42999,True,91.38
P25578,True,88.19
P25043,True,93.62
A0A1E3B0S4,True,82.25
P28739,True,76.38
O13899,True,83.5
P0CU28,True,90.94
P0CU27,True,92.25
P37515,True,97.75
P32917,True,58.53
B8M9J5,True,94.19
P32899,True,92.19
P40915,True,86.0
I1Z8E6,True,92.44
A0A2J8C362,True,88.44
Q4WL66,True,96.0
G2WQ23,True,60.28
E5AD52,True,53.91
B0XMC1,True,94.5
C0R562,True,82.0
Q9LPZ4,True,77.69
Q4X214,True,59.56
O14258,True,44.81
C4JF73,True,66.56
Q99288,True,84.56
A0A9P5CTI1,True,90.31
Q10332,True,65.31
Q8ITY4,True,77.94
Q0V090,True,72.81
Q9JLG8,True,69.75
Q9LIR9,True,81.88
O94660,True,96.25
P34752,True,95.0
Q69ZS7,True,74.44
Q8DJN6,True,96.69
Q10414,True,82.94
O94361,True,96.0
Q10567,True,81.25
Q00075,True,90.5
P33240,True,59.81
Q10752,True,76.0
A0A0B5LB52,True,94.44
G2X9E8,True,76.25
P48467,True,76.38
Q9Y815,True,54.22
P53575,True,97.06
A1CHL0,True,85.12
Q7SAF6,True,75.5
P69325,True,92.88
F9X3D9,True,96.19
O36017,True,93.38
P31382,True,89.25
P15380,True,80.12
Q9HBL8,True,96.62
I1R9A8,True,91.56
A1A653,True,94.12
P37302,True,85.62
Q53552,True,92.88
Q96VA4,True,96.38
P0CG71,True,87.12
A0A194VQ39,True,70.81
P87240,True,64.38
A0A1X7S690,True,86.12
B8MW97,True,94.56
A0A3G1DJF8,True,88.19
Q9CWD8,True,84.69
P32804,True,83.81
Q02990,True,64.0
P53839,True,96.38
Q4WQZ2,True,96.12
Q7RX40,True,86.56
A3QUP1,True,93.94
Q9P3U1,True,66.5
Q92457,True,95.25
P9WEE3,False,
G2X3G9,True,88.56
Q9C5G0,True,63.09
A6SK19,True,54.97
B2KWI1,True,90.5
P50167,True,95.44
A0A0E0RTV6,True,95.12
Q9VJY8,True,72.5
O13816,True,81.69
Q10235,True,92.69
Q76KX0,True,96.06
Q6FNY1,True,80.0
A6SRX6,True,86.69
O94491,True,83.69
Q9C2D4,True,88.62
Q8TB22,True,89.69
A0A385XI11,True,96.81
Q5ADL9,True,90.5
P87175,True,79.81
O60129,True,61.41
Q10279,True,88.44
Q1MTR3,True,78.81
Q12645,True,89.94
Q66ID3,True,86.56
G5EFZ1,True,94.81
Q84C00,True,87.0
I1S4N7,True,78.19
P33723,True,86.19
Q9C0Z1,True,81.81
Q7XKV2,True,94.38
B2JQY2,True,93.0
P53322,True,80.25
P53871,True,87.0
O75762,True,81.94
P32599,True,88.25
Q9M2N5,True,80.25
Q4WQ08,True,75.25
Q9SRL4,True,86.88
Q07G10,True,83.5
Q0UZV8,True,63.38
B8NW36,True,96.38
P87304,True,94.5
P11592,True,90.31
A3KG59,True,94.0
Q9UTA4,True,83.25
Q7SXW3,True,85.62
Q99385,True,87.25
A2QK68,True,89.25
Q5B2K4,True,80.94
P15646,True,78.06
P10978,True,79.56
Q9HDZ2,True,87.44
P32378,True,86.38
Q4WHT7,True,95.44
Q4WHU1,True,91.38
P9WF03,True,93.75
Q9FRL8,True,96.88
Q6BII9,True,94.62
Q9XH58,True,79.0
Q7SHF3,True,95.19
Q4WCV3,True,69.62
P14904,True,94.0
Q8LPL7,True,95.75
A0A3G1DJF0,True,95.12
Q96W30,True,87.62
Q7RVX9,True,86.44
Q5AU81,True,94.69
W7MTI3,True,87.5
J4VZG7,True,73.38
Q9P6J3,True,96.25
P23550,True,94.38
A0A0B4GDU5,True,90.38
P25710,True,79.94
Q0U7W4,True,86.81
C0HM97,True,86.06
Q81PE9,True,88.75
Q6CC39,True,82.12
Q01910,False,
Q2UDK7,True,95.0
W7N2P6,True,95.38
A0A481WNM6,True,92.75
W7N2B4,True,83.25
Q26304,True,93.56
P53659,True,86.75
Q9URX7,True,94.06
A0A1D8PCL1,True,84.5
A0A384JSZ0,True,71.75
Q5B0F4,True,93.88
C8VJW0,True,72.12
Q9C0U9,True,78.25
Q9V9A7,True,91.69
Q0U6L1,True,91.31
Q00713,True,89.62
O42939,True,80.12
D7PHY8,True,85.5
Q6CU12,True,95.06
Q5XTS1,True,65.75
A4QQN1,True,96.75
Q9USP0,True,87.5
Q10445,True,79.88
A0A0B5KYT4,True,90.25
O13779,True,66.38
O04514,True,87.19
Q9CX00,True,73.12
A0A179GC70,True,82.19
A0A059JK44,True,79.12
G0RV93,True,89.44
Q5ADS0,True,94.06
Q2UNX4,True,63.88
A0A0A2ILW0,True,73.81
Q0II91,True,70.44
Q7RXQ8,True,93.12
G2X2I9,True,72.0
A2QBB4,True,93.0
O14342,True,75.75
Q95SX7,True,86.94
Q400C8,True,90.81
Q5AXT5,True,67.25
Q1MLL4,True,97.56
Q94AX4,True,84.5
Q12381,True,80.56
M2WJ74,True,92.0
A4D9Q8,True,61.69
O94565,True,88.62
A2QTE5,True,92.06
Q2TXF9,True,90.69
W1QDJ3,True,88.0
A1L252,True,78.94
Q5BLX8,True,94.75
A0A1V6NWP3,True,90.75
O60126,True,94.44
A1A698,True,76.0
Q01358,True,94.69
O13775,True,92.19
M2T5U2,True,57.53
Q8X0J4,True,92.88
P48009,True,82.69
Q4WI96,True,82.56
A4D9U3,True,72.12
O94448,True,92.56
Q5BE04,True,68.69
O94383,True,81.69
Q6P632,True,94.5
Q5TC63,True,94.69
O42857,True,86.31
Q10156,True,66.56
A0A098DDI1,True,89.81
M2YI75,True,83.75
Q7TVI2,True,95.12
O74933,True,95.25
O13875,True,82.75
B4F753,True,86.25
Q9Y7T4,True,64.94
P29029,True,77.56
Q7RX33,True,83.75
B5BP48,True,89.75
Q10475,True,53.25
P54280,True,69.19
Q5A5P7,True,74.69
Q03730,True,82.81
Q12674,True,70.81
P36091,True,93.31
E9F8I5,True,81.25
O23180,True,91.88
O14227,True,83.06
Q6J2K5,True,75.06
Q9Y705,True,73.56
Q9USN3,True,87.25
O14209,True,96.12
Q9RLB8,True,88.0
G3XMC2,True,92.12
C5FW30,True,90.88
Q5B187,True,81.0
A0A8D5RZ52,True,85.38
Q10077,True,59.06
B5BP49,True,80.81
P40009,True,80.88
B0Y2K1,True,95.38
O43052,True,67.56
Q6FRG6,True,96.25
Q2SD50,True,92.81
O59953,True,93.94
Q2U4L7,True,96.25
Q12185,True,85.0
O74889,True,69.56
Q4WDK4,True,87.75
Q2U9J2,True,83.38
Q870L3,True,80.81
Q01373,True,94.12
E5A8D2,True,91.25
B7ZK61,True,85.5
P23750,True,88.25
Q70FG7,True,96.56
Q02905,True,95.69
O60066,True,94.81
Q2U9B5,True,94.06
A0A0B5LB55,True,94.06
O74977,True,77.44
Q09744,True,83.94
Q02342,True,68.94
A0A146F0J0,True,91.19
Q9USQ2,True,72.31
Q6CGL4,True,97.06
B0Y8W1,True,87.06
P53200,True,89.69
Q0V1P1,True,71.19
Q9UTC7,True,87.12
Q9V3C5,True,70.94
B0CQN7,True,91.69
Q41346,True,97.5
Q04336,True,86.44
P41636,True,91.69
O74750,True,87.81
O94408,True,94.25
Q9VAY7,True,75.44
Q09116,True,85.44
Q1K4P1,True,77.12
Q8NIQ8,True,88.62
A2TBU1,True,91.0
A1CUF9,True,62.0
A0A142PTM2,True,94.06
P30657,True,93.5
Q5BFT5,True,91.19
O13921,True,83.12
Q9LIS2,True,68.19
Q5B912,True,96.12
A2QHM1,True,88.12
Q08448,True,85.62
