accession,organism,pdb_count,pdb_ids
A0ABR0THY3,Aureobasidium pullulans,0,
A0ABR0TID0,Aureobasidium pullulans,0,
A0ABR0TJU0,Aureobasidium pullulans,0,
A0ABR0TIH3,Aureobasidium pullulans,0,
A0ABR0TX58,Aureobasidium pullulans,0,
A0ABR0TWG3,Aureobasidium pullulans,0,
A0ABR0TQI5,Aureobasidium pullulans,0,
A0ABR0TQZ9,Aureobasidium pullulans,0,
A0ABR0TS35,Aureobasidium pullulans,0,
A0ABR0TS49,Aureobasidium pullulans,0,
A0ABR0TQF8,Aureobasidium pullulans,0,
A0ABR0TMR4,Aureobasidium pullulans,0,
A0A1A7MRT4,Aureobasidium pullulans,0,
A0ABR0TXD2,Aureobasidium pullulans,0,
A0ABR0TSQ4,Aureobasidium pullulans,0,
A0ABR0TI04,Aureobasidium pullulans,0,
A0ABR0TX81,Aureobasidium pullulans,0,
A0ABR0TWT4,Aureobasidium pullulans,0,
A0ABR0T4B4,Aureobasidium pullulans,0,
A0ABR0TRL0,Aureobasidium pullulans,0,
A0ABR0TRM2,Aureobasidium pullulans,0,
A0ABR0TPZ9,Aureobasidium pullulans,0,
A0ABR0TRQ4,Aureobasidium pullulans,0,
A0ABR0TR51,Aureobasidium pullulans,0,
A0ABR0TI98,Aureobasidium pullulans,0,
A0ABR0TQ61,Aureobasidium pullulans,0,
A0ABR0TQ32,Aureobasidium pullulans,0,
A0ABR0TE62,Aureobasidium pullulans,0,
A0ABR0T4V5,Aureobasidium pullulans,0,
A0ABR0TQ99,Aureobasidium pullulans,0,
A0ABR0T6B8,Aureobasidium pullulans,0,
A0ABR0TLJ6,Aureobasidium pullulans,0,
A0ABR0TA60,Aureobasidium pullulans,0,
A0ABR0TJR3,Aureobasidium pullulans,0,
A0ABR0TJP7,Aureobasidium pullulans,0,
A0ABR0TJT6,Aureobasidium pullulans,0,
A0ABR0TKB5,Aureobasidium pullulans,0,
A0ABR0TB69,Aureobasidium pullulans,0,
A0ABR0T7W4,Aureobasidium pullulans,0,
A0ABR0T531,Aureobasidium pullulans,0,
A0ABR0T5N1,Aureobasidium pullulans,0,
A0ABR0T5Y4,Aureobasidium pullulans,0,
A0ABR0T510,Aureobasidium pullulans,0,
A0ABR0TFS6,Aureobasidium pullulans,0,
A0ABR0T594,Aureobasidium pullulans,0,
A0ABR0TFQ5,Aureobasidium pullulans,0,
A0ABR0T822,Aureobasidium pullulans,0,
A0ABR0TCQ5,Aureobasidium pullulans,0,
A0ABR0TCP3,Aureobasidium pullulans,0,
A0ABR0TCR9,Aureobasidium pullulans,0,
A0ABR0T617,Aureobasidium pullulans,0,
A0ABR0TNS8,Aureobasidium pullulans,0,
A0ABR0TMJ9,Aureobasidium pullulans,0,
A0ABR0TM83,Aureobasidium pullulans,0,
A0ABR0TM72,Aureobasidium pullulans,0,
A0ABR0TM69,Aureobasidium pullulans,0,
A0ABR0TN48,Aureobasidium pullulans,0,
A0ABR0TMQ3,Aureobasidium pullulans,0,
A0ABR0TM75,Aureobasidium pullulans,0,
A0ABR0TMC1,Aureobasidium pullulans,0,
A0ABR0TM57,Aureobasidium pullulans,0,
A0ABR0TM18,Aureobasidium pullulans,0,
A0ABR0TLV8,Aureobasidium pullulans,0,
A0ABR0TCI9,Aureobasidium pullulans,0,
A0ABR0TCI7,Aureobasidium pullulans,0,
A0ABR0TCN4,Aureobasidium pullulans,0,
A0ABR0T7X8,Aureobasidium pullulans,0,
A0ABR0T7Q9,Aureobasidium pullulans,0,
A0ABR0TF34,Aureobasidium pullulans,0,
A0ABR0TDM1,Aureobasidium pullulans,0,
A0ABR0TDM8,Aureobasidium pullulans,0,
A0ABR0TDX9,Aureobasidium pullulans,0,
A0ABR0TDL4,Aureobasidium pullulans,0,
A0ABR0TR44,Aureobasidium pullulans,0,
A0ABR0TDJ9,Aureobasidium pullulans,0,
A0ABR0TDX0,Aureobasidium pullulans,0,
A0ABR0TEQ1,Aureobasidium pullulans,0,
A0ABR0TDJ8,Aureobasidium pullulans,0,
A0ABR0TEN6,Aureobasidium pullulans,0,
A0ABR0TEU3,Aureobasidium pullulans,0,
A0ABR0TEM1,Aureobasidium pullulans,0,
A0ABR0TE23,Aureobasidium pullulans,0,
A0ABR0TEW3,Aureobasidium pullulans,0,
A0ABR0T772,Aureobasidium pullulans,0,
A0ABR0T7E0,Aureobasidium pullulans,0,
A0ABR0T6T1,Aureobasidium pullulans,0,
A0ABR0T9S6,Aureobasidium pullulans,0,
A0ABR0TGN5,Aureobasidium pullulans,0,
A0ABR0TH42,Aureobasidium pullulans,0,
A0ABR0THL7,Aureobasidium pullulans,0,
A0ABR0TB88,Aureobasidium pullulans,0,
A0ABR0TCJ3,Aureobasidium pullulans,0,
A0ABR0TB47,Aureobasidium pullulans,0,
A0ABR0TB68,Aureobasidium pullulans,0,
A0ABR0TTU8,Aureobasidium pullulans,0,
A0ABR0TPG9,Aureobasidium pullulans,0,
A0ABR0TQ78,Aureobasidium pullulans,0,
A0ABR0TNJ3,Aureobasidium pullulans,0,
A0ABR0TNJ4,Aureobasidium pullulans,0,
A0ABR0TQ51,Aureobasidium pullulans,0,
A0ABR0TPF4,Aureobasidium pullulans,0,
A0A4S8XUZ1,Aureobasidium pullulans,0,
A0ABR0T603,Aureobasidium pullulans,0,
A0ABR0TPX8,Aureobasidium pullulans,0,
A0ABR0T6F0,Aureobasidium pullulans,0,
A0ABR0T6R9,Aureobasidium pullulans,0,
A0ABR0T5T7,Aureobasidium pullulans,0,
A0ABR0TNQ3,Aureobasidium pullulans,0,
A0ABR0TPL3,Aureobasidium pullulans,0,
A0ABR0TP86,Aureobasidium pullulans,0,
A0ABR0TNQ9,Aureobasidium pullulans,0,
A0ABR0TNT0,Aureobasidium pullulans,0,
A0ABR0TQ22,Aureobasidium pullulans,0,
A0ABR0TNU4,Aureobasidium pullulans,0,
A0ABR0TNS2,Aureobasidium pullulans,0,
A0ABR0TPC9,Aureobasidium pullulans,0,
A0ABR0TNZ5,Aureobasidium pullulans,0,
A0ABR0T5Y0,Aureobasidium pullulans,0,
A0ABR0T8U5,Aureobasidium pullulans,0,
A0ABR0TXS8,Aureobasidium pullulans,0,
A0ABR0TR59,Aureobasidium pullulans,0,
A0ABR0TET4,Aureobasidium pullulans,0,
A0ABR0T664,Aureobasidium pullulans,0,
A0ABR0T6V2,Aureobasidium pullulans,0,
A0ABR0TMX1,Aureobasidium pullulans,0,
A0ABR0T7G4,Aureobasidium pullulans,0,
A0ABR0T678,Aureobasidium pullulans,0,
A0ABR0TCL5,Aureobasidium pullulans,0,
A0ABR0TCY7,Aureobasidium pullulans,0,
A0ABR0T5P6,Aureobasidium pullulans,0,
A0ABR0TTP3,Aureobasidium pullulans,0,
A0ABR0TNH6,Aureobasidium pullulans,0,
A0ABR0TNG0,Aureobasidium pullulans,0,
A0ABR0TNE8,Aureobasidium pullulans,0,
A0ABR0TNG1,Aureobasidium pullulans,0,
A0ABR0TQV2,Aureobasidium pullulans,0,
A0ABR0TP78,Aureobasidium pullulans,0,
A0ABR0TP79,Aureobasidium pullulans,0,
A0ABR0TQ54,Aureobasidium pullulans,0,
A0ABR0TQ80,Aureobasidium pullulans,0,
A0ABR0TQ67,Aureobasidium pullulans,0,
A0ABR0T7W6,Aureobasidium pullulans,0,
A0ABR0T6G1,Aureobasidium pullulans,0,
A0ABR0T7Q0,Aureobasidium pullulans,0,
A0ABR0T6R8,Aureobasidium pullulans,0,
A0ABR0T6Q0,Aureobasidium pullulans,0,
A0ABR0TE79,Aureobasidium pullulans,0,
A0ABR0T6P9,Aureobasidium pullulans,0,
A0ABR0T6H9,Aureobasidium pullulans,0,
A0ABR0T4F8,Aureobasidium pullulans,0,
A0ABR0T6H8,Aureobasidium pullulans,0,
A0ABR0T6W1,Aureobasidium pullulans,0,
A0ABR0T6N5,Aureobasidium pullulans,0,
A0ABR0T7Q4,Aureobasidium pullulans,0,
A0ABR0TB55,Aureobasidium pullulans,0,
A0ABR0T6D3,Aureobasidium pullulans,0,
A0ABR0T6Q4,Aureobasidium pullulans,0,
A0ABR0TN26,Aureobasidium pullulans,0,
A0ABR0TX24,Aureobasidium pullulans,0,
A0ABR0TP85,Aureobasidium pullulans,0,
A0ABR0TMT3,Aureobasidium pullulans,0,
A0ABR0TMS8,Aureobasidium pullulans,0,
A0ABR0TNL2,Aureobasidium pullulans,0,
A0ABR0TMS2,Aureobasidium pullulans,0,
A0ABR0TMX7,Aureobasidium pullulans,0,
A0ABR0T6L8,Aureobasidium pullulans,0,
A0ABR0T5M7,Aureobasidium pullulans,0,
A0ABR0TN06,Aureobasidium pullulans,0,
A0ABR0TN05,Aureobasidium pullulans,0,
A0ABR0TN04,Aureobasidium pullulans,0,
A0ABR0TN43,Aureobasidium pullulans,0,
A0A1A7MPC9,Aureobasidium pullulans,0,
A0ABR0TN45,Aureobasidium pullulans,0,
A0ABR0TN75,Aureobasidium pullulans,0,
A0ABR0TN57,Aureobasidium pullulans,0,
A0ABR0TN89,Aureobasidium pullulans,0,
A0ABR0TN84,Aureobasidium pullulans,0,
A0ABR0TP41,Aureobasidium pullulans,0,
A0ABR0TP84,Aureobasidium pullulans,0,
A0ABR0TNA1,Aureobasidium pullulans,0,
A0ABR0TKE6,Aureobasidium pullulans,0,
A0ABR0T784,Aureobasidium pullulans,0,
A0ABR0T781,Aureobasidium pullulans,0,
A0ABR0T775,Aureobasidium pullulans,0,
A0ABR0T8J4,Aureobasidium pullulans,0,
A0ABR0TDX1,Aureobasidium pullulans,0,
A0ABR0T7J4,Aureobasidium pullulans,0,
A0ABR0T6T7,Aureobasidium pullulans,0,
A0ABR0T899,Aureobasidium pullulans,0,
A0ABR0T747,Aureobasidium pullulans,0,
A0ABR0T753,Aureobasidium pullulans,0,
A0ABR0TMD2,Aureobasidium pullulans,0,
A0ABR0T7R7,Aureobasidium pullulans,0,
A0ABR0T6A1,Aureobasidium pullulans,0,
A0ABR0TKC5,Aureobasidium pullulans,0,
A0ABR0TV81,Aureobasidium pullulans,0,
A0ABR0T4X4,Aureobasidium pullulans,0,
A0ABR0T5R3,Aureobasidium pullulans,0,
A0ABR0T4M5,Aureobasidium pullulans,0,
A0ABR0T5K1,Aureobasidium pullulans,0,
A0ABR0T4N3,Aureobasidium pullulans,0,
A0ABR0T4N5,Aureobasidium pullulans,0,
A0ABR0T4P9,Aureobasidium pullulans,0,
A0ABR0TA38,Aureobasidium pullulans,0,
A0ABR0TV27,Aureobasidium pullulans,0,
A0ABR0TPS0,Aureobasidium pullulans,0,
A0ABR0TGT4,Aureobasidium pullulans,0,
A0ABR0T4I8,Aureobasidium pullulans,0,
A0ABR0TS90,Aureobasidium pullulans,0,
A0ABR0TSG5,Aureobasidium pullulans,0,
A0ABR0TRH0,Aureobasidium pullulans,0,
A0ABR0TRH3,Aureobasidium pullulans,0,
A0ABR0TT56,Aureobasidium pullulans,0,
A0ABR0TT54,Aureobasidium pullulans,0,
A0ABR0TRI9,Aureobasidium pullulans,0,
A0ABR0TRI4,Aureobasidium pullulans,0,
A0ABR0TRK6,Aureobasidium pullulans,0,
A0ABR0TSD7,Aureobasidium pullulans,0,
A0ABR0TRK3,Aureobasidium pullulans,0,
A0ABR0TRT2,Aureobasidium pullulans,0,
A0ABR0TS54,Aureobasidium pullulans,0,
A0ABR0TRS2,Aureobasidium pullulans,0,
A0ABR0TRT3,Aureobasidium pullulans,0,
A0ABR0TRU5,Aureobasidium pullulans,0,
A0ABR0TSU0,Aureobasidium pullulans,0,
A0ABR0TSX9,Aureobasidium pullulans,0,
A0ABR0TSA3,Aureobasidium pullulans,0,
A0ABR0TS75,Aureobasidium pullulans,0,
A0ABR0TRC1,Aureobasidium pullulans,0,
A0ABR0TTA5,Aureobasidium pullulans,0,
A0ABR0TET9,Aureobasidium pullulans,0,
A0ABR0TRP9,Aureobasidium pullulans,0,
A0ABR0TIM4,Aureobasidium pullulans,0,
A0ABR0TRE5,Aureobasidium pullulans,0,
A0ABR0TPQ4,Aureobasidium pullulans,0,
A0ABR0T7S7,Aureobasidium pullulans,0,
A0ABR0T922,Aureobasidium pullulans,0,
A0ABR0T9B2,Aureobasidium pullulans,0,
A0ABR0T7T6,Aureobasidium pullulans,0,
A0ABR0T7U8,Aureobasidium pullulans,0,
A0ABR0T937,Aureobasidium pullulans,0,
A0ABR0T7X4,Aureobasidium pullulans,0,
A0ABR0T7G9,Aureobasidium pullulans,0,
A0ABR0T7G5,Aureobasidium pullulans,0,
A0ABR0T7M6,Aureobasidium pullulans,0,
A0ABR0T7F5,Aureobasidium pullulans,0,
A0ABR0TPF2,Aureobasidium pullulans,0,
A0ABR0T8J0,Aureobasidium pullulans,0,
A0ABR0T907,Aureobasidium pullulans,0,
A0ABR0T8Q4,Aureobasidium pullulans,0,
A0ABR0T7L3,Aureobasidium pullulans,0,
A0ABR0T7I1,Aureobasidium pullulans,0,
A0ABR0T923,Aureobasidium pullulans,0,
A0ABR0T8M4,Aureobasidium pullulans,0,
A0ABR0T8U9,Aureobasidium pullulans,0,
A0ABR0T6D9,Aureobasidium pullulans,0,
A0ABR0TQY6,Aureobasidium pullulans,0,
A0ABR0TLM0,Aureobasidium pullulans,0,
A0ABR0T9N1,Aureobasidium pullulans,0,
A0ABR0T836,Aureobasidium pullulans,0,
A0ABR0T4D4,Aureobasidium pullulans,0,
A0ABR0TNB5,Aureobasidium pullulans,0,
A0ABR0T8N0,Aureobasidium pullulans,0,
A0ABR0T850,Aureobasidium pullulans,0,
A0ABR0T8N5,Aureobasidium pullulans,0,
A0ABR0T8B5,Aureobasidium pullulans,0,
A0ABR0T9F7,Aureobasidium pullulans,0,
A0ABR0T8C7,Aureobasidium pullulans,0,
A0ABR0T9E0,Aureobasidium pullulans,0,
A0ABR0T9H0,Aureobasidium pullulans,0,
A0ABR0T8K6,Aureobasidium pullulans,0,
A0ABR0T874,Aureobasidium pullulans,0,
A0ABR0T870,Aureobasidium pullulans,0,
A0ABR0T882,Aureobasidium pullulans,0,
A0ABR0TEE6,Aureobasidium pullulans,0,
A0ABR0T8I4,Aureobasidium pullulans,0,
A0ABR0T8L4,Aureobasidium pullulans,0,
A0ABR0T9V1,Aureobasidium pullulans,0,
A0ABR0T901,Aureobasidium pullulans,0,
A0ABR0T8C0,Aureobasidium pullulans,0,
A0ABR0T8B2,Aureobasidium pullulans,0,
A0ABR0T8N6,Aureobasidium pullulans,0,
A0ABR0TFK4,Aureobasidium pullulans,0,
A0ABR0TB95,Aureobasidium pullulans,0,
A0ABR0THN3,Aureobasidium pullulans,0,
A0ABR0THM6,Aureobasidium pullulans,0,
A0ABR0TJ55,Aureobasidium pullulans,0,
A0ABR0THM7,Aureobasidium pullulans,0,
A0ABR0THP8,Aureobasidium pullulans,0,
A0ABR0THP1,Aureobasidium pullulans,0,
A0ABR0THP9,Aureobasidium pullulans,0,
A0ABR0THS2,Aureobasidium pullulans,0,
A0ABR0THR8,Aureobasidium pullulans,0,
A0ABR0THU9,Aureobasidium pullulans,0,
A0ABR0TJ66,Aureobasidium pullulans,0,
A0ABR0THY1,Aureobasidium pullulans,0,
A0ABR0TJE2,Aureobasidium pullulans,0,
A0ABR0TI56,Aureobasidium pullulans,0,
A0ABR0TIX5,Aureobasidium pullulans,0,
A0ABR0TI39,Aureobasidium pullulans,0,
A0ABR0TI75,Aureobasidium pullulans,0,
A0ABR0TIM6,Aureobasidium pullulans,0,
A0ABR0TI50,Aureobasidium pullulans,0,
A0ABR0TJ18,Aureobasidium pullulans,0,
A0ABR0TIF8,Aureobasidium pullulans,0,
A0ABR0TI65,Aureobasidium pullulans,0,
A0ABR0TI62,Aureobasidium pullulans,0,
A0ABR0TIA7,Aureobasidium pullulans,0,
A0ABR0TIH1,Aureobasidium pullulans,0,
A0ABR0THY2,Aureobasidium pullulans,0,
A0ABR0TI16,Aureobasidium pullulans,0,
A0ABR0TJL3,Aureobasidium pullulans,0,
A0ABR0TI32,Aureobasidium pullulans,0,
A0ABR0TI58,Aureobasidium pullulans,0,
A0ABR0TI41,Aureobasidium pullulans,0,
A0ABR0TIY8,Aureobasidium pullulans,0,
A0ABR0TIK8,Aureobasidium pullulans,0,
A0ABR0TJ17,Aureobasidium pullulans,0,
A0A4S8WRG9,Aureobasidium pullulans,0,
A0ABR0TJK0,Aureobasidium pullulans,0,
A0ABR0TI27,Aureobasidium pullulans,0,
A0ABR0TIG5,Aureobasidium pullulans,0,
A0ABR0TIZ2,Aureobasidium pullulans,0,
A0ABR0TIF7,Aureobasidium pullulans,0,
A0ABR0TK04,Aureobasidium pullulans,0,
A0ABR0TJB2,Aureobasidium pullulans,0,
A0ABR0TJV5,Aureobasidium pullulans,0,
A0ABR0TIB2,Aureobasidium pullulans,0,
A0ABR0TIB8,Aureobasidium pullulans,0,
A0ABR0TIE5,Aureobasidium pullulans,0,
A0ABR0TIN5,Aureobasidium pullulans,0,
A0ABR0TCW0,Aureobasidium pullulans,0,
A0ABR0TBR8,Aureobasidium pullulans,0,
A0ABR0TC20,Aureobasidium pullulans,0,
A0ABR0TCZ5,Aureobasidium pullulans,0,
A0ABR0TT29,Aureobasidium pullulans,0,
A0ABR0TBL2,Aureobasidium pullulans,0,
A0ABR0TBL3,Aureobasidium pullulans,0,
A0ABR0TC42,Aureobasidium pullulans,0,
A0ABR0TCL7,Aureobasidium pullulans,0,
A0ABR0TDK4,Aureobasidium pullulans,0,
A0ABR0TC44,Aureobasidium pullulans,0,
A0ABR0TC30,Aureobasidium pullulans,0,
A0ABR0TC27,Aureobasidium pullulans,0,
A0ABR0TC86,Aureobasidium pullulans,0,
A0ABR0TD58,Aureobasidium pullulans,0,
A0ABR0TBU1,Aureobasidium pullulans,0,
A0ABR0TCC7,Aureobasidium pullulans,0,
A0ABR0TW41,Aureobasidium pullulans,0,
A0ABR0TCF0,Aureobasidium pullulans,0,
A0ABR0TBT3,Aureobasidium pullulans,0,
A0ABR0TSN7,Aureobasidium pullulans,0,
A0ABR0TR16,Aureobasidium pullulans,0,
A0ABR0T7Q3,Aureobasidium pullulans,0,
A0ABR0TKZ8,Aureobasidium pullulans,0,
A0ABR0TLF0,Aureobasidium pullulans,0,
A0ABR0TMD8,Aureobasidium pullulans,0,
A0ABR0TKR4,Aureobasidium pullulans,0,
A0ABR0TMB7,Aureobasidium pullulans,0,
A0ABR0TMA3,Aureobasidium pullulans,0,
A0ABR0TF74,Aureobasidium pullulans,0,
A0ABR0TNG8,Aureobasidium pullulans,0,
A0ABR0TMD0,Aureobasidium pullulans,0,
A0ABR0TMW6,Aureobasidium pullulans,0,
A0ABR0TMD6,Aureobasidium pullulans,0,
A0ABR0TMQ4,Aureobasidium pullulans,0,
A0ABR0TP98,Aureobasidium pullulans,0,
A0ABR0TPB6,Aureobasidium pullulans,0,
A0ABR0TMP4,Aureobasidium pullulans,0,
A0ABR0TMP5,Aureobasidium pullulans,0,
A0ABR0T7C9,Aureobasidium pullulans,0,
A0ABR0T7C8,Aureobasidium pullulans,0,
A0ABR0TNC7,Aureobasidium pullulans,0,
A0ABR0TLU2,Aureobasidium pullulans,0,
A0ABR0TMC8,Aureobasidium pullulans,0,
A0ABR0TNE4,Aureobasidium pullulans,0,
A0ABR0TTV6,Aureobasidium pullulans,0,
A0ABR0TSA5,Aureobasidium pullulans,0,
A0ABR0TT39,Aureobasidium pullulans,0,
A0ABR0TSB6,Aureobasidium pullulans,0,
A0ABR0TNV5,Aureobasidium pullulans,0,
A0ABR0TMM8,Aureobasidium pullulans,0,
A0ABR0TMH4,Aureobasidium pullulans,0,
A0ABR0TNW6,Aureobasidium pullulans,0,
A0ABR0TMG8,Aureobasidium pullulans,0,
A0ABR0TTU2,Aureobasidium pullulans,0,
A0ABR0T4T9,Aureobasidium pullulans,0,
A0ABR0TSN0,Aureobasidium pullulans,0,
A0ABR0TT83,Aureobasidium pullulans,0,
A0ABR0TTX8,Aureobasidium pullulans,0,
A0ABR0TST3,Aureobasidium pullulans,0,
A0ABR0T5U0,Aureobasidium pullulans,0,
A0ABR0TSJ4,Aureobasidium pullulans,0,
A0ABR0TS50,Aureobasidium pullulans,0,
A0A4S9WKR7,Aureobasidium pullulans,0,
A0ABR0TS95,Aureobasidium pullulans,0,
A0ABR0TUX0,Aureobasidium pullulans,0,
A0ABR0TLI3,Aureobasidium pullulans,0,
A0ABR0TMM5,Aureobasidium pullulans,0,
A0ABR0TLT6,Aureobasidium pullulans,0,
A0ABR0TME5,Aureobasidium pullulans,0,
A0ABR0TQ59,Aureobasidium pullulans,0,
A0ABR0TK39,Aureobasidium pullulans,0,
A0ABR0TM63,Aureobasidium pullulans,0,
A0ABR0TLL7,Aureobasidium pullulans,0,
A0ABR0TLM4,Aureobasidium pullulans,0,
